fold,train_size,test_size,acc,auc,test_start,test_end
0,690,207,0.7101449275362319,0.8106424825174825,2020-09-25,2021-07-31
1,897,207,0.7294685990338164,0.7991101223581757,2021-08-03,2022-06-11
2,1104,207,0.7004830917874396,0.7695557963163597,2022-06-14,2023-04-18
3,1311,207,0.714975845410628,0.813584426576386,2023-04-19,2024-02-22
4,1518,207,0.7584541062801933,0.834593572778828,2024-02-23,2024-12-31
