market,model,auc_point,ci_low,ci_high
UK,XGBoost,0.8264551687054712,0.7930479850435407,0.8614283794393583
UK,LightGBM,0.8440650625084017,0.799069748328418,0.8825997793585638
UK,RandomForest,0.8195321951875252,0.7822701520367183,0.8606916464032289
UK,Logit,0.7293318994488507,0.6720253014596996,0.7883137183737865
UK,Stacking,0.8324371555316575,0.7952629410188494,0.8763802322658537
