model,r2_log,r2,rmse,mae,corr
XGBoost,0.928303599357605,0.16771942377090454,0.0032901510984029068,0.001850152388215065,0.5436316789372818
LightGBM,0.9293691356110495,0.08881450421583148,0.00344258248559457,0.001949690427634865,0.5099957748041939
RandomForest,0.9316920248891525,-0.011318748560428027,0.0036268115087777354,0.002026935216725266,0.5336862727336646
Ridge,0.5401239589571176,-2.747686307075849,0.006981722319822854,0.003509332757500802,0.09513387789601646
Stacking,0.9165614959722693,0.04963411565401543,0.003515817915471701,0.0019813371262341673,0.5147214134754686
