market,model,r2_point,ci_low,ci_high
UK,XGBoost,0.16771942377090454,0.060205236077308655,0.2749754294753074
UK,LightGBM,0.08881450421583148,-0.008239819354750726,0.18016805961740753
UK,RandomForest,-0.011318748560428027,-0.08542142567750378,0.03928667408732926
UK,Ridge,-2.747686307075849,-4.632114655388529,-1.2927306348208631
UK,Stacking,0.04963411565401543,-0.06557712384086412,0.15137049331764113
