fold,train_size,test_size,r2,corr,test_start,test_end
0,690,207,0.8992477531801997,0.9498375112154773,2020-09-25,2021-07-31
1,897,207,0.9155644277723314,0.9595507185271611,2021-08-03,2022-06-11
2,1104,207,0.9439828606692504,0.9727248805390039,2022-06-14,2023-04-18
3,1311,207,0.9681039129602446,0.9873995231098601,2023-04-19,2024-02-22
4,1518,207,0.923506146209101,0.9616050997630288,2024-02-23,2024-12-31
