market,group,n_feat,auc_v15,ci_low,ci_high,auc_v10,dauc,dauc_low,dauc_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.5697308853118712,0.49240458483164434,0.6541573407665009,0.4821428571428571,0.08918886292405619,0.0014173961327604125,0.17758856678820953,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23449756521184092,452
UK,AR_Only,25,0.5315619068884672,0.442474946810465,0.6249394284952428,0.5172714078374455,0.014117281819308658,-0.06657993014246703,0.09722044202846725,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24058445882632762,434
US,Financial_Only,15,0.5110035211267605,0.4297504112387949,0.5936191852630693,0.5776953386988598,-0.06934529846637204,-0.19852301841633296,0.056281429941497825,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23363274502249326,452
UK,Financial_Only,15,0.44894495924974875,0.3759492253054779,0.5332528161703218,0.5150720107178743,-0.05472080195709527,-0.15090248491696487,0.038302450986789194,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.2433436467244189,434
US,Financial_Clean,13,0.508488430583501,0.4232019772306881,0.590592527029276,0.5547032193158954,-0.05016879849273542,-0.1750443929057893,0.07530869094267782,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23364516404732316,452
UK,Financial_Clean,13,0.45231662386959914,0.36930805016075563,0.5441776313718825,0.5423690967958021,-0.0813516540074003,-0.2215477220763817,0.04901476618965751,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24295688843350813,434
US,News_Pure,31,0.494299128101945,0.4110290761248405,0.5783484855965336,0.4740316901408451,0.020004301276866643,-0.043217342353331606,0.08507894678365353,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23434084172258046,452
UK,News_Pure,31,0.41190130624092886,0.3367664644085886,0.4949693839099239,0.397677793904209,0.012706707344973629,-0.05729325362956942,0.08660436145608845,0.6244239631336406,0.6105990783410138,0.76410998552822,0.23709135686937927,434
US,AR+News,56,0.5356933266264252,0.4605450684688065,0.6189992428540758,0.5219022468142187,0.01545392907377925,-0.06204891996866948,0.09384175676130024,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23414657359225893,452
UK,AR+News,56,0.4634587473484425,0.3872833969960248,0.5557290322883847,0.4619180529195043,0.0028736733581141215,-0.06774278398345418,0.07505128015735978,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24129390472734366,434
US,Full,71,0.5067069081153588,0.42857965762772027,0.5929840972063117,0.5867915828303153,-0.08106256841435645,-0.1904362173409007,0.02823423977600538,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2338285703332339,452
UK,Full,71,0.42219493133861785,0.3493446129596251,0.5093944046788675,0.4686613821592051,-0.04041970878465288,-0.10066434811394862,0.023717118408238688,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24408761994719963,434
