market,group,n_feat,r2,ci_low,ci_high,corr,n_test
US,AR_Only,25,0.3229589609411465,0.06435135940446246,0.4676386386339989,0.5910370259431718,452
UK,AR_Only,25,0.04288527228101291,-0.223744028163461,0.20567615705708253,0.27995975950201113,434
US,Financial_Only,15,0.08518708103223327,-0.27375423258728726,0.28301988488606467,0.4402026838317838,452
UK,Financial_Only,15,-0.13245367323105106,-0.49740281422749033,0.05871153050221262,0.15417811373840437,434
US,News_Pure,31,0.17207676198800648,-0.09509232913372084,0.3222222850010648,0.4772777538757681,452
UK,News_Pure,31,-0.05551138389995103,-0.31835531764432273,0.07439825521903068,0.13994190083381766,434
US,AR+News,56,0.3075165182604729,0.03633769661528755,0.44707736610216975,0.5662560447388735,452
UK,AR+News,56,0.04386693803194386,-0.15925392536063665,0.1752719239121967,0.25300968738391805,434
US,Full,71,0.3451155350710252,0.12347753718073691,0.4560353529170927,0.6023437869929504,452
UK,Full,71,-0.06958046978482746,-0.5038469466612788,0.15696652040371303,0.28169380130168015,434
US,Financial_Clean,13,0.10608289368684753,-0.17810107331216632,0.24097662510241452,0.4354878925000728,452
UK,Financial_Clean,13,-0.10886165080378474,-0.44317956873307846,0.055200088293006426,0.16042451262440652,434
