market,pca,target,h,group,metric,score,acc,baseline,n_test
US,50,vol1,1,AR_Only,R2,-0.03158527578019643,,,270
US,50,vol1,1,Full,R2,-0.5178745802553539,,,270
US,50,vol5,5,AR_Only,R2,0.10676688832424974,,,270
US,50,vol5,5,Full,R2,0.1012765565035163,,,270
US,50,vol10,10,AR_Only,R2,0.09104095453338101,,,270
US,50,vol10,10,Full,R2,0.11994969576343617,,,270
US,50,vol20,20,AR_Only,R2,-0.24806204084220695,,,270
US,50,vol20,20,Full,R2,-0.6156746313311912,,,270
US,50,dir1,1,AR_Only,AUC,0.5151860504872072,0.5296296296296297,0.5962962962962963,270
US,50,dir1,1,Full,AUC,0.5252720952760841,0.43703703703703706,0.5962962962962963,270
US,50,dir5,5,AR_Only,AUC,0.5418947368421052,0.5777777777777777,0.6481481481481481,270
US,50,dir5,5,Full,AUC,0.6624360902255639,0.6444444444444445,0.6481481481481481,270
US,50,dir20,20,AR_Only,AUC,0.5974770642201833,0.7777777777777778,0.8074074074074075,270
US,50,dir20,20,Full,AUC,0.5140261115031757,0.7333333333333333,0.8074074074074075,270
US,15,vol1,1,AR_Only,R2,-0.03158527578019643,,,270
US,15,vol1,1,Full,R2,-0.41409797172285767,,,270
US,15,vol5,5,AR_Only,R2,0.10676688832424974,,,270
US,15,vol5,5,Full,R2,0.06029991122020739,,,270
US,15,vol10,10,AR_Only,R2,0.09104095453338101,,,270
US,15,vol10,10,Full,R2,0.054302811145932384,,,270
US,15,vol20,20,AR_Only,R2,-0.24806204084220695,,,270
US,15,vol20,20,Full,R2,-0.25376866557904476,,,270
US,15,dir1,1,AR_Only,AUC,0.5151860504872072,0.5296296296296297,0.5962962962962963,270
US,15,dir1,1,Full,AUC,0.5285201435979258,0.4185185185185185,0.5962962962962963,270
US,15,dir5,5,AR_Only,AUC,0.5418947368421052,0.5777777777777777,0.6481481481481481,270
US,15,dir5,5,Full,AUC,0.6727819548872181,0.6259259259259259,0.6481481481481481,270
US,15,dir20,20,AR_Only,AUC,0.5974770642201833,0.7777777777777778,0.8074074074074075,270
US,15,dir20,20,Full,AUC,0.7005116443189838,0.8,0.8074074074074075,270
US,5,vol1,1,AR_Only,R2,-0.03158527578019643,,,270
US,5,vol1,1,Full,R2,-0.6042137488068542,,,270
US,5,vol5,5,AR_Only,R2,0.10676688832424974,,,270
US,5,vol5,5,Full,R2,0.018712564563878153,,,270
US,5,vol10,10,AR_Only,R2,0.09104095453338101,,,270
US,5,vol10,10,Full,R2,-0.13385342114110377,,,270
US,5,vol20,20,AR_Only,R2,-0.24806204084220695,,,270
US,5,vol20,20,Full,R2,-0.5850237871173871,,,270
US,5,dir1,1,AR_Only,AUC,0.5151860504872072,0.5296296296296297,0.5962962962962963,270
US,5,dir1,1,Full,AUC,0.5550743632115791,0.3925925925925926,0.5962962962962963,270
US,5,dir5,5,AR_Only,AUC,0.5418947368421052,0.5777777777777777,0.6481481481481481,270
US,5,dir5,5,Full,AUC,0.6444511278195488,0.5851851851851851,0.6481481481481481,270
US,5,dir20,20,AR_Only,AUC,0.5974770642201833,0.7777777777777778,0.8074074074074075,270
US,5,dir20,20,Full,AUC,0.6762526464361327,0.6481481481481481,0.8074074074074075,270
UK,50,vol1,1,AR_Only,R2,-0.18073194250867597,,,259
UK,50,vol1,1,Full,R2,-0.12438312610124913,,,259
UK,50,vol5,5,AR_Only,R2,-0.5042785413477557,,,259
UK,50,vol5,5,Full,R2,0.03298948797092671,,,259
UK,50,vol10,10,AR_Only,R2,-1.463813643943395,,,259
UK,50,vol10,10,Full,R2,-1.5920268004750686,,,259
UK,50,vol20,20,AR_Only,R2,-2.7734843900871926,,,259
