Metric,Mean,CI_Lower,CI_Upper
RMSE,0.004045811938867275,0.0037044811906758244,0.004411138023096947
R2,0.660271925513242,0.5519229963926823,0.7419588761333303
Dir_Acc,0.7895980198019803,0.7475247524752475,0.8267326732673267
