market,target,model,r2,n_test
UK,vol1,HAR-RV,-0.03857301439598215,434
UK,vol1,"GARCH(1,1)",-0.589226901679393,434
UK,vol1,"GJR-GARCH(1,1,1)",-0.5560873729209037,434
UK,vol5,HAR-RV,-0.10077809748325883,433
UK,vol5,"GARCH(1,1)",-0.6633062166482226,433
UK,vol5,"GJR-GARCH(1,1,1)",-0.5510941488026728,433
UK,vol10,HAR-RV,-0.22213764847010342,433
UK,vol10,"GARCH(1,1)",-0.9153131061319018,433
UK,vol10,"GJR-GARCH(1,1,1)",-0.7926831558601815,433
