task,featset,model,score,n_oos,vs_F0,vs_F1,qualified,selected,auc_US,auc_UK
vol,F0,lgbm,0.25559759234024276,2505,0.0,-0.02964141034583312,False,False,,
vol,F0,linear,0.3556348409832107,2505,0.0,-0.04079386629393267,False,False,,
vol,F1,lgbm,0.24823942566023385,2505,0.028788090735275662,0.0,False,False,,
vol,F1,linear,0.34169575023492227,2505,0.03919495263667505,0.0,False,False,,
vol,F2,lgbm,0.2515557145243436,2505,0.015813442446354298,-0.013359235162946126,False,False,,
vol,F2,linear,0.361903080855406,2505,-0.017625494326893643,-0.059138372679762075,False,False,,
vol,F3,lgbm,0.25341754681138884,2505,0.00852920995418427,-0.020859382579471175,False,False,,
vol,F3,linear,0.33793577756119664,2505,0.049767518202328276,0.01100386139172227,True,False,,
vol,F4,lgbm,0.25251717412980934,2505,0.012051827962185513,-0.017232349205603015,False,False,,
vol,F4,linear,0.34105074592246076,2505,0.041008622834674435,0.00188765681755787,True,False,,
vol,F5,lgbm,0.25332881945042096,2505,0.008876346874197805,-0.020501956031565127,False,False,,
vol,F5,linear,0.3323069917914641,2505,0.06559494881674954,0.02747695409440476,True,True,,
dir,F0,lgbm,0.5041657994625457,2505,0.0,0.01130880308689497,False,False,0.48940043272031286,0.5189311662047786
dir,F0,linear,0.5216784837992319,2505,0.0,0.009793814476994012,False,False,0.48478457601730884,0.5585723915811549
dir,F1,lgbm,0.4928569963756507,2505,-0.01130880308689497,0.0,False,False,0.4881027918781726,0.4976112008731288
dir,F1,linear,0.5118846693222379,2505,-0.009793814476994012,0.0,False,False,0.47549045102771076,0.548278887616765
dir,F2,lgbm,0.5033736694414055,2505,-0.0007921300211402027,0.010516673065754767,False,False,0.47533182158608633,0.5314155172967246
dir,F2,linear,0.522173812274136,2505,0.0004953284749040776,0.01028914295189809,True,True,0.4920321211616876,0.5523155033865842
dir,F3,lgbm,0.48946116213051466,2505,-0.014704637332031034,-0.0033958342451360646,False,False,0.4580464134143297,0.5208759108466996
dir,F3,linear,0.5121665243191823,2505,-0.00951195948004957,0.0002818549969444417,False,False,0.48092806024798196,0.5434049883903826
dir,F4,lgbm,0.4939332136900917,2505,-0.010232585772454006,0.0010762173144409637,False,False,0.4831904801531164,0.504675947227067
dir,F4,linear,0.516427781879889,2505,-0.005250701919342848,0.004543112557651163,False,False,0.4879311600233003,0.5449244037364778
dir,F5,lgbm,0.49837857829629206,2505,-0.005787221166253631,0.005521581920641339,False,False,0.4752954148289923,0.5214617417635918
dir,F5,linear,0.5108498104698503,2505,-0.010828673329381533,-0.0010348588523875213,False,False,0.47294457851377214,0.5487550424259285
