group,task,r2_log,r2,rmse,mae,corr
AR_Only,vol,0.9389985203742981,0.3292044997215271,0.0029537655345185576,0.0016891277628019452,0.6082368982670235
Financial_Only,vol,0.0036336779594421387,-0.4831949472427368,0.004392179341581225,0.0026082100812345743,0.08026557076756742
News_Pure,vol,-0.030534863471984863,-1.986748218536377,0.006232757738328992,0.003162324195727706,0.09204171208978398
AR+News,vol,0.927358090877533,0.22232890129089355,0.0031803794504800626,0.0018797151278704405,0.5813579133996416
Full,vol,0.9103915095329285,0.02634650468826294,0.0035586326128340326,0.0020286173094063997,0.4416018086162289
