model,r2,rmse,mae,corr
Ridge,-3.5668239985106487,0.007707048521401151,0.006435236167924822,0.12892604347162565
RandomForest,-0.02948267683672534,0.0036592364847173793,0.0027620012974308,0.5623409034856233
XGBoost,0.19726145267486572,0.003231231122450951,0.0023800560738891363,0.5359558492778254
