market,model,r2_point,r2_ci_low,r2_ci_high
UK,Ridge,-40.56208696356365,-55.08677316632884,-31.275908565505905
UK,RandomForest,-0.26269394361077447,-0.40613564962256604,-0.15732547440372505
UK,XGBoost,-0.06169021129608154,-0.1416472852230072,-0.0014287918806076526
UK,LightGBM,-0.06558500642026366,-0.1398079500082221,-0.01868685533749797
UK,Stacking,-0.01557349872057201,-0.05783992320848009,-0.00039634864063505806
