model,r2,mse,mae,rmse,direction_acc
Ridge,-40.56208696356365,0.0008172193320772498,0.02661440198396214,0.02858704832747253,0.24324324324324326
RandomForest,-0.26269394361077447,2.4827865408207784e-05,0.0035326121062108826,0.00498275680805393,0.24324324324324326
XGBoost,-0.06169021129608154,2.0875606423942372e-05,0.0028254687786102295,0.004568983084225895,0.29343629343629346
LightGBM,-0.06558500642026366,2.0952188180100797e-05,0.002911473632655008,0.004577356025054289,0.24324324324324326
Stacking,-0.01557349872057201,1.9968831137555073e-05,0.0027019227827256155,0.0044686498114704706,0.33204633204633205
