feature_set,n_features,model,r2,rmse,mae,corr,best_params
Full,122,XGBoost,0.19726145267486572,0.003231231122450951,0.0023800560738891363,0.5359558492778254,"{""n_estimators"": 300, ""max_depth"": 7, ""learning_rate"": 0.017970672743823943, ""subsample"": 0.9787313228196592, ""colsample_bytree"": 0.9768351229604375, ""min_child_weight"": 4, ""reg_alpha"": 0.06581274875020991, ""reg_lambda"": 0.0021121489581324756}"
No_News,56,XGBoost,0.1035119891166687,0.003414705034901813,0.0024472514633089304,0.5318434921003294,"{""n_estimators"": 600, ""max_depth"": 5, ""learning_rate"": 0.053239439355149173, ""subsample"": 0.9989879313923893, ""colsample_bytree"": 0.8938275344065296, ""min_child_weight"": 6, ""reg_alpha"": 0.026355443208319097, ""reg_lambda"": 4.876094539507203}"
News_Only,82,XGBoost,0.182628333568573,0.0032605490297589676,0.0024014150258153677,0.5339199581289858,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.02987040289179065, ""subsample"": 0.6908556046603515, ""colsample_bytree"": 0.7190024462835143, ""min_child_weight"": 6, ""reg_alpha"": 0.005656146765126755, ""reg_lambda"": 0.3680429003510159}"
Financial_Only,40,XGBoost,-0.028733491897583008,0.0036579047095653262,0.003069623140618205,0.1265932592846761,"{""n_estimators"": 1200, ""max_depth"": 3, ""learning_rate"": 0.030559837749679915, ""subsample"": 0.7505863018293224, ""colsample_bytree"": 0.8480189038628734, ""min_child_weight"": 5, ""reg_alpha"": 0.24736117209520536, ""reg_lambda"": 0.4267426153295508}"
