model,acc,auc,f1,brier,logloss
Logit,0.6563706563706564,0.5644575883855357,0.0,0.33207751405356306,1.9543012524756822
RandomForest,0.6718146718146718,0.7901599677375991,0.022988505747126436,0.18736991440372075,0.5541135137499484
XGBoost,0.7335907335907336,0.8218846619169243,0.6101694915254238,0.16906927525997162,0.4775740760759534
