market,group,n_feat,auc_v15,ci_low,ci_high,auc_v10,dauc,dauc_low,dauc_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.5473160513223356,0.3768141992870808,0.7544561556225091,0.5935323383084578,-0.04494932580670746,-0.17969334803098064,0.0985426718534841,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.2022989363718161,449
UK,AR_Only,25,0.5300295372497539,0.35877477577363753,0.6680552133728319,0.51905855876975,-0.005302615367861924,-0.1373531181007075,0.1269185726219559,0.54292343387471,0.642691415313225,0.6722129783693843,0.24159578249689703,431
US,Financial_Only,15,0.5851008117308196,0.40124172146784864,0.8113142054294384,0.6446975648075413,-0.03922767329630395,-0.21652523384099095,0.17970534812213335,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.19687819196254172,449
UK,Financial_Only,15,0.5126822635847906,0.36095423495317186,0.6357312619893023,0.5648178536265178,-0.0884200778665094,-0.2654705187506516,0.10715403609529736,0.642691415313225,0.642691415313225,0.7824858757062146,0.23733215024453208,431
US,Financial_Clean,13,0.601440167583137,0.4152886513157894,0.8170400142563611,0.6317622414244567,-0.006103422304820752,-0.19375266636113095,0.20728019063737751,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.19733617027461753,449
UK,Financial_Clean,13,0.5071264475596606,0.35359575539435434,0.6290646159465593,0.5392306249706971,-0.042332543651610294,-0.17507919627650548,0.10532447057879424,0.642691415313225,0.642691415313225,0.7824858757062146,0.23696240598095883,431
US,News_Pure,31,0.4730034040324692,0.3546762096153834,0.5966186962176266,0.46470280178057083,0.016202529488499727,-0.07462731716084667,0.10016984181909956,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.20181832325695473,449
UK,News_Pure,31,0.5461109287824089,0.48624462432566684,0.6445986939673943,0.5851657367902856,-0.019856583639001512,-0.08243425122604074,0.04426644021907576,0.6403712296983759,0.642691415313225,0.7788873038516405,0.23796517523704885,431
US,AR+News,56,0.5242210002618486,0.3891618017108636,0.6867130032517738,0.5371563236449333,-0.009368085784914703,-0.08291556664984497,0.0795452419074612,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.20083127059749065,449
UK,AR+News,56,0.5600590744995078,0.4346837575512872,0.67524884085203,0.5058136809039336,0.06026487317575643,-0.054433746172827646,0.16573832665471347,0.5406032482598608,0.642691415313225,0.6319702602230483,0.24137105829098657,431
US,Full,71,0.5609321811992669,0.4343404503834191,0.7647813233751098,0.5577376276512176,0.02780980049812015,-0.17003706328513146,0.21476612646005963,0.7216035634743875,0.7461024498886414,0.8382923673997411,0.20126110590561097,449
UK,Full,71,0.562192320315064,0.40640080365464365,0.7098726807279134,0.47944113648084763,0.06944793088687272,-0.10310012670177293,0.26027152521549823,0.5382830626450116,0.642691415313225,0.5963488843813387,0.24628193103775597,431
