market,group,n_feat,auc_v15,ci_low,ci_high,auc_v10,dauc,dauc_low,dauc_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.5697308853118712,0.49240458483164434,0.6541573407665009,0.4821428571428571,0.08918886292405619,0.0014173961327604125,0.17758856678820953,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23449756521184092,452
UK,AR_Only,25,0.5315619068884672,0.442474946810465,0.6249394284952428,0.5172714078374455,0.014117281819308658,-0.06657993014246703,0.09722044202846725,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24058445882632762,434
US,Financial_Only,15,0.5070422535211268,0.4217803110267797,0.5886813884012121,0.5399689805499663,-0.036744937389026844,-0.1559002841634475,0.07865464393081095,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23363812011636848,452
UK,Financial_Only,15,0.45676007591827616,0.3737193154842707,0.5497142857142856,0.5468795355587808,-0.08531681303428817,-0.20895656431549037,0.03078222822557169,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.2430628514090139,434
US,Financial_Clean,13,0.508488430583501,0.4232019772306881,0.590592527029276,0.5547032193158954,-0.05016879849273542,-0.1750443929057893,0.07530869094267782,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23364516404732316,452
UK,Financial_Clean,13,0.45231662386959914,0.36930805016075563,0.5441776313718825,0.5423690967958021,-0.0813516540074003,-0.2215477220763817,0.04901476618965751,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24295688843350813,434
US,News_Pure,31,0.48010982562038906,0.40746863911052056,0.5556843311370193,0.4909666331321261,-0.006127365464501164,-0.07886364525073468,0.06741385469805462,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2339857514478115,452
UK,News_Pure,31,0.48831081835435974,0.4309926980826382,0.5531337631221517,0.49168248297421013,-0.0015854526481032564,-0.08046053495154493,0.07790354417341167,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.2408559106897816,434
US,AR+News,56,0.5300972501676726,0.4505398523302691,0.6162223986849071,0.4716004359490275,0.06193055963332772,-0.014481418949188578,0.13956581783245578,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23413062151013805,452
UK,AR+News,56,0.519035391314056,0.44621914956324343,0.6002601986600329,0.5104387629786759,0.01150921156936796,-0.06393475500247947,0.08898261153799468,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.2406515069562688,434
US,Full,71,0.511108316566063,0.4317995295429872,0.5915188577939614,0.5679284037558685,-0.0559761464987118,-0.16942864836647048,0.0559269273958738,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23404316663326585,452
UK,Full,71,0.49099028692642616,0.4209938969397251,0.573280331911522,0.5389751032711846,-0.04326878335083095,-0.1281723791575779,0.038339231082065224,0.5299539170506913,0.6105990783410138,0.66,0.24701832292667303,434
