market,group,n_feat,r2,ci_low,ci_high,corr,n_test
US,AR_Only,25,0.3229589609411465,0.06435135940446246,0.4676386386339989,0.5910370259431718,452
UK,AR_Only,25,0.04288527228101291,-0.223744028163461,0.20567615705708253,0.27995975950201113,434
US,Financial_Only,15,0.17398390416791898,-0.0491725247660808,0.28870188728711565,0.4289894209991429,452
UK,Financial_Only,15,-0.09455687988048633,-0.3955844578670984,0.046901842366752745,0.10350883303962999,434
US,News_Pure,31,0.11794014055257762,-0.1681280866469348,0.273065261031976,0.4334696367384512,452
UK,News_Pure,31,-0.03771459712472325,-0.29003517508485616,0.08256201981859566,0.1810551935500518,434
US,AR+News,56,0.3181072817147744,0.04867334664763355,0.4666638711265536,0.5857797807165102,452
UK,AR+News,56,0.04901948296637093,-0.1889609338496067,0.19722238439889675,0.2829298432180431,434
US,Full,71,0.34467369476052967,0.1268869975712536,0.46338239089636724,0.5930291520310635,452
UK,Full,71,-0.051909393886581556,-0.4382254532245923,0.15084270375740133,0.2824577328264363,434
US,Financial_Clean,13,0.10608289368684753,-0.17810107331216632,0.24097662510241452,0.4354878925000728,452
UK,Financial_Clean,13,-0.10886165080378474,-0.44317956873307846,0.055200088293006426,0.16042451262440652,434
