fold,train_size,test_size,acc,auc,test_start,test_end
0,718,215,0.6,0.5764902409002989,2020-09-22,2021-07-29
1,933,215,0.46511627906976744,0.4767482214124588,2021-07-30,2022-06-06
2,1148,215,0.5302325581395348,0.5092302333681644,2022-06-07,2023-04-14
3,1363,215,0.4744186046511628,0.5048475233562488,2023-04-17,2024-02-22
4,1578,215,0.44651162790697674,0.47841983235241664,2024-02-23,2024-12-30
