model,r2_log,r2,rmse,mae,corr
XGBoost,-0.7220163345336914,-0.6632976531982422,0.006836233122002272,0.0047127194702625275,0.2912150190864996
LightGBM,-0.15447233141338979,-0.37169431963275956,0.006208126520127066,0.0041941735344026366,0.2517787731426045
RandomForest,-0.13145905430985771,-0.31369394777670534,0.006075457520440636,0.004189439233653569,0.26333185306117474
Ridge,-5.202067819387279,-24.426606729719904,0.02672859263345491,0.021053116887314274,0.11214499904583236
Stacking,-2.7613871036866096,-0.8697466598779378,0.007248084905469141,0.005180271989884397,0.26923981099527144
