fold,train_size,test_size,r2,corr,test_start,test_end
0,718,215,-0.1076932122674712,0.2722836466845306,2020-09-22,2021-07-29
1,933,215,-1.6854294671950805,-0.055744602218553006,2021-07-30,2022-06-06
2,1148,215,-0.0772632118747274,0.21067234649663213,2022-06-07,2023-04-14
3,1363,215,-0.039041590358676714,0.22093170035369544,2023-04-17,2024-02-22
4,1578,215,-0.15144203397134315,0.2695892942557715,2024-02-23,2024-12-30
