model,acc,auc,f1,brier,logloss
XGBoost,0.4185185185185185,0.5042452561399511,0.17801047120418848,0.41742852330207825,1.243324735762986
LightGBM,0.3962962962962963,0.509829619921363,0.023952095808383235,0.4681922332134269,1.4331342216185672
RandomForest,0.40370370370370373,0.5195167815829962,0.0,0.2848722112339921,0.7645898640949003
Logit,0.40370370370370373,0.5129637016354207,0.03592814371257485,0.5743704253843637,3.7131160867810538
Stacking,0.4148148148148148,0.49564077725226513,0.07058823529411765,0.5310455814839088,2.0138334297538796
