model,acc,auc,f1,brier,logloss
XGBoost,0.6173469387755102,0.7477370689655173,0.27184466019417475,0.24221171438694,0.6785146256045996
LightGBM,0.6147959183673469,0.7287984913793104,0.27751196172248804,0.2232118536091549,0.6045581156557912
RandomForest,0.5918367346938775,0.7491918103448276,0.0,0.2100557443569249,0.5987284149570319
Logit,0.5918367346938775,0.5591056034482759,0.0,0.40289859218694984,3.062656982661501
Stacking,0.6198979591836735,0.7417564655172414,0.20320855614973263,0.3375539518420192,1.2522068238999713
