fold,train_size,test_size,acc,auc,test_start,test_end
0,1044,313,0.6932907348242812,0.7515663891511458,2020-09-21,2021-07-30
1,1357,313,0.6517571884984026,0.7215929203539824,2021-07-31,2022-06-08
2,1670,313,0.6677316293929713,0.7273708920187794,2022-06-09,2023-04-17
3,1983,313,0.6166134185303515,0.7136277548209367,2023-04-18,2024-02-24
4,2296,313,0.6166134185303515,0.7494708322749979,2024-02-25,2025-01-02
