target,model,r2,rmse,mae,corr,baseline,acc,auc,f1,brier,logloss
vol1,XGBoost,0.01309476924259001,1.2660452533516489,0.9400908946990967,0.26481032571035934,,,,,,
vol1,LightGBM,0.11610059823313046,1.1981547411665632,0.8876068608385418,0.3421452545142663,,,,,,
vol1,RandomForest,0.022465015969064916,1.2600205989816187,0.9741966744043549,0.2856765546217823,,,,,,
vol1,Ridge,-0.8236885995314671,1.7210236257111848,1.2979672994541582,0.2858665937265215,,,,,,
vol1,Stacking,-0.5634788606581029,1.5935199224415668,1.2489101370892164,0.24253129830192785,,,,,,
vol5,XGBoost,0.3636855440202369,0.4219271309750586,0.3313334584236145,0.6366024068279437,,,,,,
vol5,LightGBM,0.2712557137357261,0.45153262856235704,0.3564952882947933,0.5804502854756401,,,,,,
vol5,RandomForest,0.27019667163542627,0.45186060263103467,0.3559653741003343,0.6318729603768876,,,,,,
vol5,Ridge,-22.217748379254616,2.548658265918735,2.400222872344251,0.2714121128099219,,,,,,
vol5,Stacking,0.1601673052737107,0.4847278203301615,0.3784372424104898,0.5118161752493856,,,,,,
vol10,XGBoost,0.26367816279101486,0.4023436203743439,0.30968916416168213,0.5450671443677838,,,,,,
vol10,LightGBM,0.2815368412274646,0.39743446874796606,0.3081035923672915,0.5767535870693807,,,,,,
vol10,RandomForest,0.1037244064376921,0.44389889449250824,0.365163910498591,0.561522534896085,,,,,,
vol10,Ridge,-47.62184136087667,3.2694822150395186,3.107945742870288,0.177820016352938,,,,,,
vol10,Stacking,0.18880344387799686,0.42230510110712416,0.32590788898347656,0.5219601755409328,,,,,,
dir1,XGBoost,,,,,0.581858407079646,0.5176991150442478,0.5106926589816323,0.5775193798449613,0.2707417659757077,0.744573638996983
dir1,LightGBM,,,,,0.581858407079646,0.584070796460177,0.5372080391091798,0.6977491961414791,0.2455291044506924,0.684580629397752
dir1,RandomForest,,,,,0.581858407079646,0.4336283185840708,0.5368660349648943,0.1633986928104575,0.2593407404597617,0.7120269642311475
dir1,Logit,,,,,0.581858407079646,0.41814159292035397,0.5227835113766672,0.0,0.5545476558513048,2.7022933561525684
dir1,Stacking,,,,,0.581858407079646,0.5331858407079646,0.5063069587784417,0.6184448462929475,0.338578805479153,1.047800228664924
dir5,XGBoost,,,,,0.6283185840707964,0.5995575221238938,0.5591884641180416,0.712241653418124,0.27968606960450815,0.8288026038360004
dir5,LightGBM,,,,,0.6283185840707964,0.6017699115044248,0.5928487592219986,0.7239263803680982,0.25412937756276743,0.74160243857137
dir5,RandomForest,,,,,0.6283185840707964,0.41814159292035397,0.5379569081153588,0.17034700315457413,0.28096906821851364,0.7569643902528184
dir5,Logit,,,,,0.6283185840707964,0.37168141592920356,0.5101861167002013,0.0,0.6256837278943651,5.765237401533298
dir5,Stacking,,,,,0.6283185840707964,0.6371681415929203,0.6000586854460094,0.7696629213483146,0.3016843057514456,1.0355585192971903
