target,model,point,ci_low,ci_high
vol1,XGBoost,0.01309476924259001,-0.11526624274524416,0.10562010855640921
vol1,LightGBM,0.11610059823313046,0.04277834743521855,0.17320608305012816
vol1,RandomForest,0.022465015969064916,-0.09136940470851608,0.10985572978982729
vol1,Ridge,-0.8236885995314671,-1.0694186297441,-0.627452327850403
vol1,Stacking,-0.5634788606581029,-0.9045558070731178,-0.29318267284956306
vol5,XGBoost,0.3636855440202369,0.14715246853167777,0.4794401431105825
vol5,LightGBM,0.2712557137357261,-0.02396269872451149,0.42236468100483887
vol5,RandomForest,0.27019667163542627,-0.03180013303764013,0.43279726497183213
vol5,Ridge,-22.217748379254616,-35.526815570559855,-14.060711469857539
vol5,Stacking,0.1601673052737107,-0.21955900064706993,0.34843983273064666
vol10,XGBoost,0.26367816279101486,-0.07700359508596447,0.4180676022258426
vol10,LightGBM,0.2815368412274646,-0.05801423513901037,0.43418297694033686
vol10,RandomForest,0.1037244064376921,-0.4507764703684795,0.35545053798691273
vol10,Ridge,-47.62184136087667,-87.02713795584187,-28.038926926325168
vol10,Stacking,0.18880344387799686,-0.22926572980237006,0.3651248381111077
dir1,XGBoost,0.5106926589816323,0.4678268581716932,0.561914964357162
dir1,LightGBM,0.5372080391091798,0.4935599851473589,0.5882314395638241
dir1,RandomForest,0.5368660349648943,0.47730385884366155,0.5953265893204804
dir1,Logit,0.5227835113766672,0.475014448334139,0.571289500395305
dir1,Stacking,0.5063069587784417,0.4673404877433916,0.551319289591006
dir5,XGBoost,0.5591884641180416,0.49218257160016526,0.6197743835540213
dir5,LightGBM,0.5928487592219986,0.5284318003704317,0.6574366161974995
dir5,RandomForest,0.5379569081153588,0.4547463741213928,0.6280074379772669
dir5,Logit,0.5101861167002013,0.4286532878139035,0.5943890645623464
dir5,Stacking,0.6000586854460094,0.542468327288449,0.6544999104180969
