target,model,r2,rmse,mae,corr,baseline,acc,auc,f1,brier,logloss
vol1,XGBoost,-0.3446260485558823,1.340320468984738,1.094000220298767,0.11004012576847279,,,,,,
vol1,LightGBM,-0.3225729368445649,1.3292837999743643,1.0784137984884397,0.09266887452117901,,,,,,
vol1,RandomForest,-0.011225114008472925,1.1623363494764396,0.868908371634647,0.11562268967781138,,,,,,
vol1,Ridge,-0.0489840294268038,1.1838381580892006,0.9022438541008028,0.07605663998546758,,,,,,
vol1,Stacking,-0.4741115732666763,1.4033728622560295,1.1436249267980276,0.08123350247807397,,,,,,
vol5,XGBoost,-0.14502851757876,0.4892865627468418,0.3654342591762543,0.1700443338403364,,,,,,
vol5,LightGBM,-0.0010450927719332093,0.4574903860102828,0.33804206305862783,0.24962909117146204,,,,,,
vol5,RandomForest,-0.6878546683493243,0.5940495566266981,0.4804398627191734,0.3001048902979706,,,,,,
vol5,Ridge,-1.4528129035845976,0.7161225716233643,0.5790932678887519,0.17446660655810492,,,,,,
vol5,Stacking,-0.0944880117128537,0.4783663871262176,0.35889112116593913,0.25946484032051587,,,,,,
vol10,XGBoost,-0.2408595184322604,0.4058641471986095,0.3310883045196533,0.4038457846211181,,,,,,
vol10,LightGBM,-0.10260226536281758,0.3825857884589043,0.2995409840529746,0.2832129237724911,,,,,,
vol10,RandomForest,-1.8489488266892495,0.6149810273884513,0.5554073711040979,0.2958226730216643,,,,,,
vol10,Ridge,-9.971939237525682,1.2068716632026262,1.1076914699006155,0.10861694985849196,,,,,,
vol10,Stacking,-0.4802095987787147,0.4432829236704442,0.3768498837630041,0.32217236724731074,,,,,,
dir1,XGBoost,,,,,0.5668202764976958,0.4815668202764977,0.4692311018854869,0.5011086474501107,0.34542480104541523,0.9958656048595321
dir1,LightGBM,,,,,0.5668202764976958,0.511520737327189,0.5030055353745027,0.5159817351598174,0.35469586165612454,1.0938488152026855
dir1,RandomForest,,,,,0.5668202764976958,0.48847926267281105,0.5357637087009168,0.28846153846153844,0.25808905985466085,0.7095643937533823
dir1,Logit,,,,,0.5668202764976958,0.43548387096774194,0.4987458917142363,0.01606425702811245,0.5002950931015575,1.831095217804857
dir1,Stacking,,,,,0.5668202764976958,0.4976958525345622,0.5179250994637605,0.5067873303167421,0.3504312977722309,1.0526773322002478
dir5,XGBoost,,,,,0.6096997690531177,0.4618937644341801,0.4819571454186839,0.46681922196796344,0.32318004753446067,0.8850577804098642
dir5,LightGBM,,,,,0.6096997690531177,0.45958429561200925,0.4995069033530572,0.387434554973822,0.343300519112923,0.9571227365370091
dir5,RandomForest,,,,,0.6096997690531177,0.4018475750577367,0.45373856912318455,0.2175226586102719,0.30156699233212236,0.8059912763230068
dir5,Logit,,,,,0.6096997690531177,0.3903002309468822,0.4401784113322575,0.0,0.5967629579596837,4.131532953582345
dir5,Stacking,,,,,0.6096997690531177,0.47113163972286376,0.5282409897794513,0.44282238442822386,0.41480790052730904,1.364187701464294
