Metric,Mean,CI_Lower,CI_Upper
RMSE,0.006888708910120957,0.005837571147717647,0.008082342905858112
R2,-0.004090908620362951,-0.02331090502269139,0.0044617046621033135
Dir_Acc,0.5624022471910112,0.5168539325842697,0.6089887640449438
