market,features,model,r2_raw,r2_calibrated,corr,ceiling,slope,intercept,n_test
US,AR_Only,단독,0.26548476266494436,0.3030604630455247,0.5787378722111148,0.33493752473144867,0.6786633197434427,-1.4636187555692026,452
US,AR_Only,pooled,0.3009093019958641,0.3229589609411465,0.5910370259431715,0.34932476603574925,0.7098195447110984,-1.306730968005008,452
UK,AR_Only,단독,-0.18589864524856292,0.0249672085053525,0.26806567139448806,0.07185920418017765,0.6299452140000483,-1.9705389996958993,434
UK,AR_Only,pooled,-0.11508934262063542,0.04288527228101291,0.2799597595020114,0.07837746694042406,0.7048420095126201,-1.6011513935795603,434
US,Full,단독,-0.41346457451658036,0.1774631227349096,0.5118971577440693,0.2620387001064566,0.8159903161976175,-1.1055260613743538,452
US,Full,pooled,0.275872638475524,0.3794394876581777,0.6282624500001492,0.39471370608019,0.8952078884099577,-0.6385443599812417,452
UK,Full,단독,-0.7270998481631195,-0.09265217059626418,0.24398383845720498,0.05952811342831149,0.7301021057616012,-1.5377860899614326,434
UK,Full,pooled,-1.4100441218284656,-0.16808620125381224,0.23750045215392893,0.05640646477332068,0.9194674042463991,-0.7343930490749475,434
