market,label,fold,test_start,test_end,n_test,L_level,S_shift,V_within,AR_Only_r2,AR_Only_corr,Full_r2,Full_corr
US,미국 SPY,1,2018-03-16,2019-03-06,244,-4.952752531451865,0.39788044647619475,0.6221879133362019,0.44591392259636187,0.6706575482244903,0.27761554031816327,0.5407690167656147
US,미국 SPY,2,2019-03-07,2020-02-24,244,-5.096862972434843,0.08241215664315037,0.5510806389946878,0.1440196294600392,0.503094868945467,0.16615744400846744,0.5276755691623524
US,미국 SPY,3,2020-02-25,2021-02-10,244,-4.444358566141719,1.149830224414812,0.7057233559766559,0.3973300622840559,0.7558131590292485,0.5099358407844155,0.7159024590153173
US,미국 SPY,4,2021-02-11,2022-01-28,244,-5.001229702164152,0.06497871004655102,0.5198966967119085,0.18430042932579216,0.5027077735097214,0.052021853389036754,0.4621694218595599
US,미국 SPY,5,2022-01-31,2023-01-19,244,-4.289224983383531,1.1567774470510728,0.3358132654741325,-0.5289751189660901,0.24264659087307805,-0.5158822266005965,0.15382512366624737
US,미국 SPY,6,2023-01-20,2024-01-09,244,-4.951390189649752,0.01090188603834945,0.38944864238160687,-0.017467147732135535,0.3830993370266729,-0.4168988764262376,0.4112129139549921
US,미국 SPY,7,2024-01-10,2024-12-27,244,-5.009225325750935,0.07980843343990769,0.4366283636767322,0.034252233121339515,0.4328284392835492,0.11926127305931256,0.4059726966438096
US,미국 SPY,8,2024-12-30,2025-12-18,244,-4.875340762626996,0.13885888686724962,0.5755047916009024,0.3436282686850005,0.615647603318849,0.4336252567107164,0.6587868114777488
UK,영국 ISF,1,2018-03-20,2019-03-12,234,-4.987817631132701,0.10196370547151251,0.39329577664896653,-0.5337717681890375,0.06673936908484704,-0.3465407399277194,0.0752366185673156
UK,영국 ISF,2,2019-03-13,2020-03-03,234,-5.050334765888364,0.032897330525462926,0.5425773048403368,0.010534389206530603,0.3426113223317849,0.11285467859937015,0.37016457499163435
UK,영국 ISF,3,2020-03-04,2021-02-18,234,-4.393962329947329,1.2209201529864162,0.6102504216935148,0.026398186205703444,0.5052946180750697,0.18969006048850523,0.5251154436624349
UK,영국 ISF,4,2021-02-19,2022-02-03,234,-5.050711039270975,0.1764020724445799,0.4616915540044673,-0.2866308917883209,0.02697382625382904,-0.2549837718249872,-0.014852083992530114
UK,영국 ISF,5,2022-02-04,2023-01-25,234,-4.8977679347915455,0.11010743284074458,0.5722528202319984,0.1965987566551065,0.47491610799269124,0.256696652261319,0.5162239844670826
UK,영국 ISF,6,2023-01-26,2024-01-10,234,-5.177487132217956,0.39250701702135765,0.5289826047170979,-0.14471908309907455,0.1960193977873438,-0.24639810018459096,0.19819892071927775
UK,영국 ISF,7,2024-01-11,2024-12-24,234,-5.258234969794545,0.49610305325622817,0.37412512492801026,-0.2953233700619453,0.17620249083783793,-0.2242288745542853,0.24924980237057973
UK,영국 ISF,8,2024-12-30,2025-12-16,234,-5.274090472025243,0.48756468508809425,0.5112528428107579,-0.05587469653197741,0.3256939392388117,-0.11909079692221991,0.16640733876247454
