feature_set,n_features,model,acc,auc,f1,brier,logloss,best_params
Full,118,XGBoost,0.6071428571428571,0.7204741379310344,0.20618556701030927,0.21335934102535248,0.5875887370019798,"{""n_estimators"": 200, ""max_depth"": 7, ""learning_rate"": 0.021306495082742887, ""subsample"": 0.977345094489783, ""colsample_bytree"": 0.9644571193707884, ""min_child_weight"": 7, ""reg_alpha"": 0.008383068012192884, ""reg_lambda"": 0.019920482024488564}"
No_News,52,XGBoost,0.5918367346938775,0.7033674568965518,0.1111111111111111,0.286286324262619,0.849017337645049,"{""n_estimators"": 1200, ""max_depth"": 5, ""learning_rate"": 0.03132473205532597, ""subsample"": 0.9979278707291753, ""colsample_bytree"": 0.8620313930247293, ""min_child_weight"": 8, ""reg_alpha"": 0.00011064542649364209, ""reg_lambda"": 0.21671990349573836}"
News_Only,82,XGBoost,0.6045918367346939,0.6898168103448276,0.4444444444444444,0.2158798724412918,0.5950504284243475,"{""n_estimators"": 300, ""max_depth"": 7, ""learning_rate"": 0.03266540548786146, ""subsample"": 0.8807851891877639, ""colsample_bytree"": 0.9333492195246706, ""min_child_weight"": 4, ""reg_alpha"": 0.004136899942732352, ""reg_lambda"": 0.10529324841436721}"
Financial_Only,36,XGBoost,0.5969387755102041,0.5438038793103448,0.024691358024691357,0.31225645542144775,0.9269300092246306,"{""n_estimators"": 300, ""max_depth"": 7, ""learning_rate"": 0.07373658066810862, ""subsample"": 0.609101618890158, ""colsample_bytree"": 0.9967239150659105, ""min_child_weight"": 4, ""reg_alpha"": 0.006099412898103845, ""reg_lambda"": 0.681606229562551}"
