feature_set,n_features,model,r2,rmse,mae,corr,best_params
Full,118,XGBoost,0.21503520011901855,0.004578506267929267,0.0033078077249228954,0.4766916504327279,"{""n_estimators"": 1000, ""max_depth"": 3, ""learning_rate"": 0.030811205527869485, ""subsample"": 0.998406612698974, ""colsample_bytree"": 0.5392311924833904, ""min_child_weight"": 7, ""reg_alpha"": 0.1515166954705603, ""reg_lambda"": 0.33820292885029046}"
No_News,52,XGBoost,0.2867816090583801,0.004364253751113105,0.0030997528228908777,0.5361917758335513,"{""n_estimators"": 900, ""max_depth"": 3, ""learning_rate"": 0.0238555198435194, ""subsample"": 0.9306148351847925, ""colsample_bytree"": 0.7594126937433106, ""min_child_weight"": 8, ""reg_alpha"": 0.2756572839412417, ""reg_lambda"": 0.8511543412288749}"
News_Only,82,XGBoost,-0.7638801336288452,0.006863304315991931,0.004649205598980188,0.26731757697389374,"{""n_estimators"": 800, ""max_depth"": 4, ""learning_rate"": 0.09129115219600122, ""subsample"": 0.9100531293444458, ""colsample_bytree"": 0.9697494707820946, ""min_child_weight"": 9, ""reg_alpha"": 0.024637685958997457, ""reg_lambda"": 2.570307853015558}"
Financial_Only,36,XGBoost,0.05225062370300293,0.0050308976849016565,0.003972119186073542,0.24478690838541106,"{""n_estimators"": 800, ""max_depth"": 3, ""learning_rate"": 0.01292601903022879, ""subsample"": 0.6420332646786896, ""colsample_bytree"": 0.9469709007069825, ""min_child_weight"": 4, ""reg_alpha"": 0.3385009022801329, ""reg_lambda"": 0.18321602696979392}"
