model,r2,rmse,mae,corr
Ridge,-8.996358498413471,0.01633878024231339,0.012447192086441789,0.06765640532249859
RandomForest,-0.3627547303687344,0.006032642220106268,0.0048020359213737365,0.31774869001909906
XGBoost,0.21503520011901855,0.004578506267929267,0.0033078077249228954,0.4766916504327279
