model,acc,auc,f1,brier,logloss
Logit,0.5892857142857143,0.5412984913793103,0.0,0.4032839947775452,2.951845769931605
RandomForest,0.5918367346938775,0.6943157327586207,0.0,0.22896212463960414,0.6480379724328236
XGBoost,0.6071428571428571,0.7204741379310344,0.20618556701030927,0.21335934102535248,0.5875887370019798
