feature_set,n_features,model,r2,mse,mae,rmse,direction_acc,best_params
Full,113,Ridge,-22.726393496977227,0.0020270975875412243,0.040337329227951274,0.04502330049586796,0.28061224489795916,
Full,113,XGBoost,-0.07276797294616699,9.16534336283803e-05,0.006677715107798576,0.009573579979734868,0.3086734693877551,"{""n_estimators"": 800, ""max_depth"": 4, ""learning_rate"": 0.02379851187869154, ""subsample"": 0.7686765686979086, ""colsample_bytree"": 0.6033386540965955, ""min_child_weight"": 8, ""reg_alpha"": 0.05898924794651337, ""reg_lambda"": 0.008195424432857767, ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""verbosity"": 0, ""eval_metric"": ""rmse"", ""early_stopping_rounds"": 30}"
No_News,47,Ridge,-7.907870425181848,0.0007610563590845124,0.025840390411211177,0.02758724993696386,0.2780612244897959,
No_News,47,XGBoost,-0.025687217712402344,8.763102232478559e-05,0.006078141275793314,0.009361144285010545,0.336734693877551,"{""n_estimators"": 900, ""max_depth"": 7, ""learning_rate"": 0.028540412497320918, ""subsample"": 0.6662225125541511, ""colsample_bytree"": 0.7261631564388042, ""min_child_weight"": 10, ""reg_alpha"": 0.2395179971548446, ""reg_lambda"": 0.013419009167664612, ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""verbosity"": 0, ""eval_metric"": ""rmse"", ""early_stopping_rounds"": 30}"
News_Only,76,Ridge,-2.6485721592779314,0.0003117208615369475,0.012968069481101985,0.017655618412758797,0.3622448979591837,
News_Only,76,XGBoost,-0.22756719589233398,0.00010487891267985106,0.007287317421287298,0.010241040605321857,0.3877551020408163,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.059974759542369444, ""subsample"": 0.7943479760554873, ""colsample_bytree"": 0.8869607578720925, ""min_child_weight"": 2, ""reg_alpha"": 0.004136899942732352, ""reg_lambda"": 0.009135041057495703, ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""verbosity"": 0, ""eval_metric"": ""rmse"", ""early_stopping_rounds"": 30}"
Financial_Only,37,Ridge,-4.368196685218232,0.00045863938619407265,0.0196915942109628,0.021415867626460354,0.2780612244897959,
Financial_Only,37,XGBoost,-0.0009367465972900391,8.55164325912483e-05,0.005837155971676111,0.009247509534531354,0.40561224489795916,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.011125855082059589, ""subsample"": 0.7234707775332928, ""colsample_bytree"": 0.6989155440021462, ""min_child_weight"": 5, ""reg_alpha"": 0.9628318482039023, ""reg_lambda"": 0.01714164309050828, ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""verbosity"": 0, ""eval_metric"": ""rmse"", ""early_stopping_rounds"": 30}"
