model,r2,mse,mae,rmse,direction_acc
Ridge,-22.726393496977227,0.0020270975875412243,0.040337329227951274,0.04502330049586796,0.28061224489795916
RandomForest,-0.41951154163787163,0.00012127795241647869,0.00867377337739224,0.011012626953478388,0.2780612244897959
XGBoost,-0.07276797294616699,9.16534336283803e-05,0.006677715107798576,0.009573579979734868,0.3086734693877551
LightGBM,-0.003228552238187854,8.571223343546056e-05,0.005797772368515267,0.009258090161337842,0.40561224489795916
Stacking,0.0005054997712832243,8.53932094834589e-05,0.00591384442117815,0.009240844630414413,0.40561224489795916
