market,baseline,model,DM_stat,p_value,favors_full
US,XGB_No_News,XGB_Full,-2.9508516788482666,0.0033597880360862753,False
US,XGB_News_Only,XGB_Full,4.867380142211914,1.6436763683458366e-06,True
US,XGB_Financial_Only,XGB_Full,3.9823718070983887,8.136566533334388e-05,True
