Date,Close
2013-12-31,15935.400390625
2014-01-02,15919.099609375
2014-01-03,16020.5
2014-01-06,16049.2998046875
2014-01-07,16069.2001953125
2014-01-08,16001.7001953125
2014-01-09,15949.0
2014-01-10,16191.7001953125
2014-01-13,16254.7998046875
2014-01-14,16236.0
2014-01-15,16292.900390625
2014-01-16,16209.7001953125
2014-01-17,16187.099609375
2014-01-20,16227.099609375
2014-01-21,16144.2001953125
2014-01-22,16147.2001953125
2014-01-23,15980.099609375
2014-01-24,15703.400390625
2014-01-27,15528.2001953125
2014-01-28,15715.7998046875
2014-01-29,15688.2998046875
2014-01-30,15701.7998046875
2014-01-31,15674.400390625
2014-02-03,15558.2001953125
2014-02-04,15540.2998046875
2014-02-05,15561.400390625
2014-02-06,15789.900390625
2014-02-07,15865.099609375
2014-02-10,15910.7001953125
2014-02-11,16078.2998046875
2014-02-12,16079.2001953125
2014-02-13,16029.400390625
2014-02-14,16110.599609375
2014-02-17,16244.7001953125
2014-02-18,16342.099609375
2014-02-19,16347.2998046875
2014-02-20,16368.7998046875
2014-02-21,16460.900390625
2014-02-24,16539.30078125
2014-02-25,16527.900390625
2014-02-26,16471.69921875
2014-02-27,16523.0
2014-02-28,16726.0
2014-03-03,16374.7998046875
2014-03-04,16698.900390625
2014-03-05,16614.400390625
2014-03-06,16671.80078125
2014-03-07,16559.5
2014-03-10,16451.19921875
2014-03-11,16481.5
2014-03-12,16326.7001953125
2014-03-13,16186.2001953125
2014-03-14,16124.900390625
2014-03-17,16297.400390625
2014-03-18,16354.2001953125
2014-03-19,16338.7998046875
2014-03-20,16217.400390625
2014-03-21,16160.099609375
2014-03-24,16019.400390625
2014-03-25,16153.099609375
2014-03-26,16252.900390625
2014-03-27,16202.2001953125
2014-03-28,16181.7001953125
2014-03-31,16273.7001953125
2014-04-01,16407.599609375
2014-04-02,16416.0
2014-04-03,16349.099609375
2014-04-04,16433.69921875
2014-04-07,16262.7998046875
2014-04-08,16014.5
2014-04-09,16163.7001953125
2014-04-10,16148.5
2014-04-11,15898.400390625
2014-04-14,15702.400390625
2014-04-15,15590.5
2014-04-16,15746.0
2014-04-17,15907.900390625
2014-04-22,16082.2001953125
2014-04-23,15989.599609375
2014-04-24,15991.7998046875
2014-04-25,15888.2001953125
2014-04-28,15826.2001953125
2014-04-29,15896.599609375
2014-04-30,15817.2001953125
2014-05-01,15850.2998046875
2014-05-02,15930.900390625
2014-05-06,15938.7001953125
2014-05-07,15882.0
2014-05-08,15968.5
2014-05-09,15885.2001953125
2014-05-12,15981.400390625
2014-05-13,16038.900390625
2014-05-14,15974.599609375
2014-05-15,15616.5
2014-05-16,15397.900390625
2014-05-19,15379.400390625
2014-05-20,15440.2998046875
2014-05-21,15603.2001953125
2014-05-22,15675.099609375
2014-05-23,15706.0
2014-05-27,15843.900390625
2014-05-28,15935.400390625
2014-05-29,15954.7998046875
2014-05-30,16010.2998046875
2014-06-02,16084.400390625
2014-06-03,15971.900390625
2014-06-04,15986.5
2014-06-05,15995.5
2014-06-06,16232.900390625
2014-06-09,16218.400390625
2014-06-10,16210.599609375
2014-06-11,16087.599609375
2014-06-12,16126.0
2014-06-13,15814.7998046875
2014-06-16,15706.7001953125
2014-06-17,15585.5
2014-06-18,15624.2001953125
2014-06-19,15683.900390625
2014-06-20,15791.400390625
2014-06-23,15675.2998046875
2014-06-24,15547.2001953125
2014-06-25,15454.0
2014-06-26,15646.7998046875
2014-06-27,15681.5
2014-06-30,15723.599609375
2014-07-01,15840.900390625
2014-07-02,15897.099609375
2014-07-03,16029.0
2014-07-04,16050.2001953125
2014-07-07,15892.2998046875
2014-07-08,15652.5
2014-07-09,15549.599609375
2014-07-10,15439.900390625
2014-07-11,15451.400390625
2014-07-14,15577.7001953125
2014-07-15,15440.5
2014-07-16,15600.2001953125
2014-07-17,15554.0
2014-07-18,15556.7998046875
2014-07-21,15486.099609375
2014-07-22,15650.7001953125
2014-07-23,15726.0
2014-07-24,15748.7001953125
2014-07-25,15691.7998046875
2014-07-28,15616.5
2014-07-29,15687.0
2014-07-30,15629.7998046875
2014-07-31,15495.599609375
2014-08-01,15402.7001953125
2014-08-04,15362.599609375
2014-08-05,15351.900390625
2014-08-06,15262.7001953125
2014-08-07,15240.099609375
2014-08-08,15243.400390625
2014-08-11,15460.7001953125
2014-08-12,15465.7998046875
2014-08-13,15527.5
2014-08-14,15675.599609375
2014-08-15,15667.7998046875
2014-08-18,15796.400390625
2014-08-19,15895.2998046875
2014-08-20,15748.900390625
2014-08-21,15838.599609375
2014-08-22,15881.099609375
2014-08-26,15998.0
2014-08-27,16024.599609375
2014-08-28,15910.900390625
2014-08-29,15885.7001953125
2014-09-01,15957.099609375
2014-09-02,15965.400390625
2014-09-03,15991.900390625
2014-09-04,15995.7998046875
2014-09-05,15924.599609375
2014-09-08,15768.2998046875
2014-09-09,15786.900390625
2014-09-10,15672.7001953125
2014-09-11,15621.400390625
2014-09-12,15711.900390625
2014-09-15,15649.2001953125
2014-09-16,15593.099609375
2014-09-17,15576.7001953125
2014-09-18,15722.7998046875
2014-09-19,15859.099609375
2014-09-22,15744.599609375
2014-09-23,15533.7001953125
2014-09-24,15537.599609375
2014-09-25,15425.900390625
2014-09-26,15383.7001953125
2014-09-29,15390.099609375
2014-09-30,15379.7001953125
2014-10-01,15210.900390625
2014-10-02,15005.2001953125
2014-10-03,15230.099609375
2014-10-06,15277.0
2014-10-07,15099.2001953125
2014-10-08,14933.5
2014-10-09,14811.2998046875
2014-10-10,14641.599609375
2014-10-13,14544.0
2014-10-14,14669.7998046875
2014-10-15,14426.7001953125
2014-10-16,14480.099609375
2014-10-17,14757.599609375
2014-10-20,14756.0
2014-10-21,15025.0
2014-10-22,15170.099609375
2014-10-23,15136.0
2014-10-24,15089.599609375
2014-10-27,15040.400390625
2014-10-28,15123.400390625
2014-10-29,15234.099609375
2014-10-30,15298.2998046875
2014-10-31,15501.400390625
2014-11-03,15453.2001953125
2014-11-04,15394.099609375
2014-11-05,15526.2998046875
2014-11-06,15515.099609375
2014-11-07,15464.5
