Date,ftas,ftmc,spy,iwm,xlk,xle,xlf,uup,hyg,lqd,tlt,us5y,us30y,vix9d,vvix,nikkei,hsi,eth,isf_close,isf_open,isf_high,isf_low,isf_volume,isf_hl_range,isf_oc_gap
2013-12-02,3519.469970703125,15334.7998046875,145.84718322753906,95.50743865966797,14.803879737854004,27.087194442749023,13.828010559082031,18.186670303344727,47.95488739013672,73.81462860107422,73.34383392333984,1.4210000038146973,3.859999895095825,14.300000190734863,69.58999633789062,15655.0703125,24038.55078125,,652.2709350585938,658.541801844991,658.8643396700909,651.9056271018551,3858744.0,0.01066843882536433,-0.00952235191270869
2013-12-03,3485.330078125,15153.099609375,145.21694946289062,95.04847717285156,14.838122367858887,27.152956008911133,13.686321258544922,18.128192901611328,47.908477783203125,74.00279998779297,73.61356353759766,1.3910000324249268,3.8369998931884766,14.680000305175781,73.20999908447266,15749.66015625,23910.470703125,,646.298583984375,650.4791815404417,651.3750455713916,645.5022941529861,7312039.0,0.009086746534706177,-0.006426950584592644
2013-12-04,3474.659912109375,15128.0,145.20082092285156,94.79346466064453,14.85096549987793,27.06526756286621,13.718520164489746,18.11983871459961,47.78473663330078,73.76266479492188,72.91084289550781,1.4420000314712524,3.9049999713897705,14.710000038146973,72.7300033569336,15407.9404296875,23728.69921875,,644.1090087890625,649.9817626455775,649.9817626455775,641.6205640622418,5094609.0,0.012981030336860162,-0.009035259439605741
2013-12-05,3470.199951171875,15157.7001953125,144.5625762939453,94.8614730834961,14.803879737854004,26.97444725036621,13.589709281921387,18.027944564819336,47.74861526489258,73.60047912597656,72.70500946044922,1.475000023841858,3.9140000343322754,15.420000076293945,75.80000305175781,15177.490234375,23712.5703125,,643.0139770507812,642.416774747922,647.073130119269,642.1181128434606,6106476.0,0.007705924680727496,0.000929618164304021
2013-12-06,3499.800048828125,15317.099609375,146.1783905029297,95.60094451904297,14.906623840332031,27.059011459350586,13.776487350463867,18.027944564819336,47.882694244384766,73.75619506835938,73.05282592773438,1.5049999952316284,3.9170000553131104,12.699999809265137,70.44999694824219,15299.8603515625,23743.099609375,,647.9908447265625,646.9954670848934,648.7871346892917,642.8148688392774,4972250.0,0.009216589861751012,0.001538461538461515
2013-12-09,3505.909912109375,15391.7998046875,146.5499725341797,95.57540893554688,14.95371150970459,27.096580505371094,13.834452629089355,18.01123809814453,48.05800247192383,73.86653900146484,73.22319030761719,1.496999979019165,3.8889999389648438,13.520000457763672,70.44999694824219,15650.2099609375,23811.169921875,,648.3890380859375,645.402905078025,652.8582741006281,645.402905078025,4674466.0,0.011498295906746942,0.004626773422334505
2013-12-10,3490.52001953125,15410.7998046875,146.02481079101562,94.70849609375,14.923742294311523,27.015169143676758,13.782929420471191,17.96111297607422,48.05800247192383,74.1650390625,73.74839782714844,1.4490000009536743,3.8289999961853027,14.649999618530273,70.44999694824219,15611.3095703125,23744.189453125,,645.1043090820312,647.2941523288325,649.8821709852477,644.6066201965326,2296985.0,0.008177825995647295,-0.003383072809977758
2013-12-11,3483.1298828125,15396.099609375,144.38485717773438,93.153076171875,14.78674602508545,26.633134841918945,13.596151351928711,17.9527587890625,47.91364669799805,73.95738983154297,73.18053436279297,1.4889999628067017,3.880000114440918,17.360000610351562,80.55000305175781,15515.0595703125,23338.240234375,,643.8101806640625,644.1087817754311,648.2177517787493,643.7106672112808,2646208.0,0.007000641963784469,-0.00046358801466041684
2013-12-12,3448.919921875,15211.5,143.908203125,93.35706329345703,14.688288688659668,26.745866775512695,13.596151351928711,18.019588470458984,47.82598114013672,73.8340835571289,72.90377807617188,1.531999945640564,3.8970000743865967,16.610000610351562,83.37999725341797,15341.8203125,23218.119140625,,637.6389770507812,642.1181770290578,642.615865915533,636.643599277831,4188945.0,0.009366219526486794,-0.006975662951952066
2013-12-13,3447.489990234375,15233.5,143.89202880859375,93.66303253173828,14.641196250915527,26.658180236816406,13.609028816223145,18.027944564819336,47.903289794921875,74.03524017333984,73.2586669921875,1.531999945640564,3.872999906539917,17.229999542236328,85.38999938964844,15403.1103515625,23245.9609375,,636.4444580078125,637.5393490601789,639.3777964098438,636.0462826689372,2542003.0,0.005234571059562334,-0.0017173701575917053
2013-12-16,3489.0,15384.599609375,144.78883361816406,94.77648162841797,14.78674602508545,26.88991355895996,13.692767143249512,17.994529724121094,47.94456100463867,74.09366607666016,72.98892974853516,1.531000018119812,3.8949999809265137,17.1200008392334,83.19999694824219,15152.91015625,23114.66015625,,644.9049682617188,635.9465726827025,645.8007713678155,635.2518012807817,3567803.0,0.016357402417704385,0.014086710997160995
2013-12-17,3471.81005859375,15348.599609375,144.32826232910156,94.64044952392578,14.782468795776367,26.73645782470703,13.60258960723877,17.994529724121094,47.94971466064453,74.31427764892578,73.31544494628906,1.4950000047683716,3.871999979019165,17.059999465942383,82.2300033569336,15278.6298828125,23069.23046875,,641.72021484375,642.2179038484755,644.1051366661995,641.2971913403437,3188419.0,0.0043756535338995385,-0.0007749534881278679
2013-12-18,3475.550048828125,15366.7001953125,146.7923583984375,95.9408950805664,14.898056030273438,27.140430450439453,13.918183326721191,18.069713592529297,48.0322380065918,74.31427764892578,72.94635009765625,1.5149999856948853,3.9130001068115234,12.949999809265137,67.16999816894531,15587.7998046875,23143.8203125,,642.2175903320312,644.3078588302347,645.2037229026206,642.2175903320312,3679420.0,0.004649720928767297,-0.003244207671156551
2013-12-19,3524.3798828125,15590.0,146.62266540527344,95.2269515991211,14.923742294311523,27.218713760375977,13.898855209350586,18.11148452758789,47.980648040771484,74.20396423339844,72.87532043457031,1.6440000534057617,3.9010000228881836,12.779999732971191,67.02999877929688,15859.2197265625,22888.75,,651.0764770507812,647.1945407839426,651.0764770507812,646.8959396484978,8631435.0,0.006420962129088537,0.005998097978602429
2013-12-20,3535.6298828125,15636.599609375,147.47555541992188,96.83332061767578,15.040335655212402,27.266849517822266,13.983630180358887,18.094776153564453,48.0115852355957,74.54784393310547,73.99685668945312,1.6699999570846558,3.8239998817443848,12.729999542236328,68.0,15870.419921875,22812.1796875,,652.4698486328125,654.8587785583021,655.6232337043383,650.6303689450049,14181862.0,0.007652253617229201,-0.0036480077899374444
2013-12-23,3571.080078125,15741.7001953125,148.26351928710938,97.9314193725586,15.238226890563965,27.295164108276367,14.048335075378418,18.06136131286621,48.04770278930664,74.43108367919922,73.57804870605469,1.6929999589920044,3.8440001010894775,12.229999542236328,63.4900016784668,,22921.560546875,,660.5325927734375,655.157589845806,660.5325927734375,654.4608133311971,3968938.0,0.009192248056596726,0.00820413746392914
2013-12-24,3579.7099609375,15783.0,148.58836364746094,98.30683135986328,15.281251907348633,27.446184158325195,14.074220657348633,18.078065872192383,48.02191925048828,74.41165161132812,72.98892974853516,1.7410000562667847,3.9010000228881836,11.109999656677246,63.4900016784668,15889.330078125,23179.55078125,,661.3289794921875,660.7317164101522,663.7676062964696,660.5326287161404,1186486.0,0.00489163136751278,0.000903941898355201
2013-12-25,,,,,,,,,,,,,,,,16009.990234375,,,,,,,,,
2013-12-26,,,149.34376525878906,98.31533813476562,15.319976806640625,27.64122772216797,14.106573104858398,18.069713592529297,48.067012786865234,74.35824584960938,72.70764923095703,1.7410000562667847,3.9210000038146973,10.920000076293945,62.709999084472656,16174.4404296875,,,,,,,,,
2013-12-27,3608.52001953125,15878.099609375,149.33566284179688,98.2556381225586,15.307064056396484,27.77651023864746,14.100103378295898,18.036296844482422,48.061798095703125,74.29315185546875,72.50109100341797,1.74399995803833,3.943000078201294,11.479999542236328,66.66999816894531,16178.9404296875,23243.240234375,,667.9978637695312,664.1159276934433,668.0058224158835,663.9327573212912,2930348.0,0.006097422335466527,0.005845268746332325
2013-12-30,3600.75,15900.7001953125,149.3113250732422,98.19590759277344,15.276954650878906,27.57830810546875,14.074220657348633,17.9527587890625,48.103271484375,74.5144271850586,72.99961853027344,1.7109999656677246,3.9070000648498535,12.989999771118164,69.70999908447266,16291.3095703125,23244.869140625,,666.106689453125,668.19695807232,669.2919098633956,664.3150219576685,2498452.0,0.007471607753726643,-0.0031282222912614806
2013-12-31,3609.6298828125,15935.400390625,150.01797485351562,98.4262466430664,15.37590217590332,27.845726013183594,14.145402908325195,17.97782325744629,48.13436508178711,74.32568359375,72.53669738769531,1.7480000257492065,3.9639999866485596,13.75,70.83000183105469,,23306.390625,,663.9166870117188,664.4143756826421,668.1599811060352,663.0208231028521,2454499.0,0.007740667020005718,-0.0007490636704120442
2014-01-02,3595.75,15919.099609375,148.58023071289062,97.35974884033203,15.225320816040039,27.449317932128906,14.06775188446045,18.086421966552734,48.21728515625,74.4688949584961,72.75748443603516,1.715999960899353,3.9189999103546143,13.829999923706055,73.13999938964844,,23340.05078125,,664.1163330078125,668.1973592394329,668.1973592394329,663.0462893150515,4452494.0,0.00775627652621041,-0.006107516252781327
2014-01-03,3605.0,16020.5,148.555908203125,97.8545913696289,15.152186393737793,27.348648071289062,14.164815902709961,18.161609649658203,48.20174026489258,74.57952117919922,72.75748443603516,1.7269999980926514,3.930000066757202,12.170000076293945,70.02999877929688,,22817.279296875,,664.8126220703125,663.9167580655685,666.7784682296442,662.2246042527288,2185355.0,0.006849845844884965,0.0013493619401237088
2014-01-06,3606.159912109375,16049.2998046875,148.12539672851562,97.06112670898438,15.126375198364258,27.386398315429688,14.177754402160645,18.11148452758789,48.305397033691406,74.74223327636719,73.063720703125,1.6970000267028809,3.8980000019073486,12.510000228881836,68.33000183105469,15908.8798828125,22684.150390625,,665.5096435546875,664.315238670096,667.7134602987645,663.7179754747543,4312444.0,0.006003646773124282,0.001797948948126719
2014-01-07,3618.159912109375,16069.2001953125,149.0351104736328,97.87168884277344,15.26404857635498,27.594036102294922,14.184224128723145,18.161609649658203,48.305397033691406,74.6836929321289,73.24885559082031,1.6740000247955322,3.88100004196167,11.569999694824219,68.33000183105469,15814.3701171875,22712.779296875,,667.7989501953125,664.8128169747397,669.1924425797582,663.9537690471091,3849698.0,0.00784468668469304,0.004491690208623448
2014-01-08,3600.8798828125,16001.7001953125,149.06765747070312,97.9996566772461,15.26404857635498,27.402124404907227,14.22952651977539,18.19502830505371,48.274288177490234,74.36474609375,73.0494384765625,1.7599999904632568,3.9030001163482666,11.619999885559082,68.33000183105469,16121.4501953125,22996.58984375,,664.1163330078125,667.002893274329,667.3015553304019,663.6186439184411,2756314.0,0.005545581743609248,-0.004327657789228416
2014-01-09,3585.679931640625,15949.0,149.16510009765625,98.0252685546875,15.165098190307617,27.317188262939453,14.281293869018555,18.17831802368164,48.34684371948242,74.53398895263672,73.4767074584961,1.7450000047683716,3.872999906539917,11.75,68.33000183105469,15880.330078125,22787.330078125,,660.9307861328125,665.2108980490299,666.9030522725668,657.3275237554034,2937447.0,0.01448794445359556,-0.006434217973232769
2014-01-10,3616.030029296875,16191.7001953125,149.57131958007812,98.56275939941406,15.195209503173828,27.339214324951172,14.25540828704834,18.103132247924805,48.491947174072266,74.93751525878906,74.35262298583984,1.6230000257492065,3.7960000038146973,9.970000267028809,67.73999786376953,15912.0595703125,22846.25,,665.5096435546875,664.2156644276828,668.918861484684,663.5467733910931,2975965.0,0.008072141622016181,0.0019481310006738053
2014-01-13,3626.330078125,16254.7998046875,147.58120727539062,97.21472930908203,15.031729698181152,26.79493522644043,14.041871070861816,18.06136131286621,48.440128326416016,75.08075714111328,74.72293853759766,1.5889999866485596,3.7669999599456787,13.09000015258789,75.70999908447266,,22888.759765625,,667.3010864257812,667.201512226039,668.4954907985286,664.9121561742467,3936873.0,0.005369891788240811,0.00014924156782867708
2014-01-14,3629.6201171875,16236.0,149.18943786621094,98.4091796875,15.285555839538574,27.144149780273438,14.158339500427246,18.094776153564453,48.5127067565918,74.85941314697266,74.38111114501953,1.6469999551773071,3.799999952316284,11.3100004196167,69.30999755859375,15422.400390625,22791.279296875,,668.6947021484375,662.4238350193713,669.1923909801576,661.229369672637,3947209.0,0.011908306259846829,0.00946654814871336
2014-01-15,3655.570068359375,16292.900390625,149.9936065673828,99.1429443359375,15.47054672241211,27.065502166748047,14.326589584350586,18.17831802368164,48.611148834228516,74.87896728515625,74.30278015136719,1.6729999780654907,3.805999994277954,10.640000343322754,69.55999755859375,15808.73046875,22902.0,,674.3682861328125,670.7849512752352,674.66688724544,669.8960737820811,6631962.0,0.007074492619926222,0.005342002456621822
2014-01-16,3650.389892578125,16209.7001953125,149.7987060546875,99.26243591308594,15.466240882873535,27.103254318237305,14.235993385314941,18.161609649658203,48.590450286865234,75.05467987060547,74.8012924194336,1.6430000066757202,3.7730000019073486,11.09000015258789,73.9800033569336,15747.2001953125,22986.41015625,,673.5722045898438,674.468008204806,675.164784851805,673.0745156638505,3816955.0,0.0031032592700693845,-0.001328163239864473
2014-01-17,3655.909912109375,16187.099609375,149.16510009765625,98.91259765625,15.380204200744629,27.059207916259766,14.190696716308594,18.22844123840332,48.60076904296875,75.13928985595703,75.1146011352539,1.6299999952316284,3.756999969482422,11.460000038146973,75.72000122070312,15734.4599609375,23133.349609375,,675.0651245117188,673.2734569185175,676.3591032871958,670.8695810469707,4238209.0,0.008131840974892264,0.0026611291070369907
2014-01-20,3660.840087890625,16227.099609375,,,,,,,,,,,,,,15641.6796875,22928.94921875,,675.562744140625,674.8659677165667,676.0604329073776,673.1738137590031,4441777.0,0.004272910508181648,0.0010324663820518896
