Metric,Mean,CI_Lower,CI_Upper
RMSE,0.01324775188220554,0.011310978381657726,0.01567892477512758
R2,0.019932173061423534,-0.04391120616931013,0.0788495487833614
Dir_Acc,0.5746690423162583,0.5300668151447662,0.6191536748329621
