Metric,Mean,CI_Lower,CI_Upper
RMSE,0.008019580890501962,0.007228534436533417,0.008858105431031356
R2,0.6328099960403926,0.4921788778857723,0.7490399342661738
Dir_Acc,0.7773898230088495,0.7389380530973452,0.8163716814159292
