market,group,n_feat,r2,ci_low,ci_high,corr,n_test
US,AR_Only,25,0.3229589609411465,0.06435135940446246,0.4676386386339989,0.5910370259431718,452
UK,AR_Only,25,0.04288527228101291,-0.223744028163461,0.20567615705708253,0.27995975950201113,434
US,Financial_Only,15,0.08518708103223327,-0.27375423258728726,0.28301988488606467,0.4402026838317838,452
UK,Financial_Only,15,-0.13245367323105106,-0.49740281422749033,0.05871153050221262,0.15417811373840437,434
US,News_Pure,31,0.1839551610953667,-0.07832878216938963,0.33383319593023525,0.48138065781131095,452
UK,News_Pure,31,-0.0587922281736557,-0.32771585644431617,0.07505152477029468,0.14115792005192293,434
US,AR+News,56,0.3072538818625453,0.03753699335298335,0.4486677833184974,0.5599229371403956,452
UK,AR+News,56,0.05850499415463528,-0.15113178939840846,0.19616593872701282,0.2793743689097281,434
US,Full,71,0.3626519822137201,0.1402351417908724,0.4762859446728065,0.6137278563528371,452
UK,Full,71,-0.15663774504173644,-0.6552871297731279,0.10578247712396961,0.2667203040436263,434
