group,task,acc,auc,f1,brier,logloss
AR_Only,dir,0.6301020408163265,0.7240840517241379,0.5337620578778135,0.21050502359867096,0.5776616820473977
Financial_Only,dir,0.5969387755102041,0.5265220905172414,0.024691358024691357,0.37937378883361816,1.6299748122483306
News_Pure,dir,0.5867346938775511,0.5075296336206896,0.012195121951219513,0.29426220059394836,0.8555005648805832
AR+News,dir,0.6403061224489796,0.7301993534482758,0.5661538461538461,0.1847497969865799,0.5142978095221611
Full,dir,0.6045918367346939,0.7488685344827587,0.19689119170984457,0.19828206300735474,0.5442100358858021
