model,acc,auc,f1,brier,logloss
XGBoost,0.4980694980694981,0.5394484412470024,0.3925233644859813,0.3308466076850891,0.9367158857016491
LightGBM,0.4942084942084942,0.5094724220623501,0.5093632958801498,0.27961688605904333,0.7656379195359596
RandomForest,0.5096525096525096,0.49622302158273374,0.2983425414364641,0.2536157979149124,0.7004495157874795
Logit,0.46332046332046334,0.5443645083932854,0.0,0.5104153767193009,2.7450365587459133
Stacking,0.5212355212355212,0.5520983213429257,0.45614035087719296,0.3305338052856281,0.972625861589757
