fold,train_size,test_size,r2,corr,test_start,test_end
0,690,207,-0.4112565964172159,0.06444209884177299,2020-09-25,2021-08-02
1,897,207,-0.01627191138593198,0.2079242853763573,2021-08-03,2022-06-13
2,1104,207,-0.1969906713882419,0.11268000325701433,2022-06-14,2023-04-18
3,1311,207,-0.12787646594018054,0.11556973985998815,2023-04-19,2024-02-22
4,1518,207,-0.32201376828067185,0.058907977006884576,2024-02-23,2024-12-31
