model,r2_log,r2,rmse,mae,corr
XGBoost,-0.08220493793487549,-0.15402519702911377,0.003938406826620777,0.0028600222431123257,0.09681385874752321
LightGBM,-0.06920158628313033,-0.11169561514743775,0.0038655016219100173,0.0028534396040012146,0.10542765293341776
RandomForest,-0.019292998631390335,-0.10797149722455757,0.0038590215836647023,0.0028280794092425967,0.15683012419665127
Ridge,-0.48776164587395865,-2.4117433172317786,0.00677175267955546,0.004388501695819361,0.08032053830144577
Stacking,-0.6873399212112294,-0.5204927723492507,0.004520693816116193,0.003311077973732519,0.01411585677268448
