market,model,r2_point,ci_low,ci_high
UK,XGBoost,-0.15402519702911377,-0.2664124608039856,-0.05984660685062418
UK,LightGBM,-0.11169561514743775,-0.22047370377253503,-0.017776675871213638
UK,RandomForest,-0.10797149722455757,-0.19735525649443575,-0.02842699851315867
UK,Ridge,-2.4117433172317786,-4.492002669179167,-0.8240135129897971
UK,Stacking,-0.5204927723492507,-0.7239658385954861,-0.3424973834566565
