"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 09- 04","1.3819","1.3794","1.3847","1.3791","","0.18%"
"2025- 09- 03","1.3794","1.3781","1.3809","1.3777","","0.08%"
"2025- 09- 02","1.3783","1.3750","1.3817","1.3745","","0.23%"
"2025- 09- 01","1.3751","1.3737","1.3764","1.3731","","0.04%"
"2025- 08- 29","1.3745","1.3750","1.3781","1.3726","","-0.02%"
"2025- 08- 28","1.3748","1.3790","1.3792","1.3740","","-0.30%"
"2025- 08- 27","1.3790","1.3838","1.3859","1.3782","","-0.35%"
"2025- 08- 26","1.3838","1.3860","1.3870","1.3822","","-0.16%"
"2025- 08- 25","1.3860","1.3824","1.3865","1.3816","","0.24%"
"2025- 08- 22","1.3827","1.3910","1.3926","1.3813","","-0.60%"
"2025- 08- 21","1.3911","1.3874","1.3914","1.3869","","0.27%"
"2025- 08- 20","1.3874","1.3869","1.3885","1.3853","","0.04%"
"2025- 08- 19","1.3868","1.3804","1.3871","1.3795","","0.47%"
"2025- 08- 18","1.3803","1.3815","1.3832","1.3782","","-0.12%"
"2025- 08- 15","1.3819","1.3816","1.3821","1.3787","","0.01%"
"2025- 08- 14","1.3817","1.3759","1.3821","1.3744","","0.41%"
"2025- 08- 13","1.3760","1.3771","1.3783","1.3750","","-0.09%"
"2025- 08- 12","1.3773","1.3780","1.3808","1.3753","","-0.04%"
"2025- 08- 11","1.3779","1.3759","1.3796","1.3744","","0.15%"
"2025- 08- 08","1.3758","1.3747","1.3765","1.3725","","0.09%"
"2025- 08- 07","1.3745","1.3741","1.3775","1.3721","","0.02%"
"2025- 08- 06","1.3742","1.3773","1.3781","1.3735","","-0.23%"
"2025- 08- 05","1.3773","1.3778","1.3811","1.3763","","-0.04%"
"2025- 08- 04","1.3779","1.3790","1.3796","1.3758","","-0.07%"
"2025- 08- 01","1.3788","1.3855","1.3881","1.3763","","-0.48%"
"2025- 07- 31","1.3855","1.3828","1.3860","1.3813","","0.19%"
"2025- 07- 30","1.3829","1.3770","1.3846","1.3758","","0.42%"
"2025- 07- 29","1.3771","1.3738","1.3790","1.3731","","0.23%"
"2025- 07- 28","1.3739","1.3695","1.3744","1.3689","","0.27%"
"2025- 07- 25","1.3702","1.3642","1.3726","1.3636","","0.46%"
"2025- 07- 24","1.3639","1.3594","1.3657","1.3590","","0.32%"
"2025- 07- 23","1.3595","1.3604","1.3630","1.3575","","-0.08%"
"2025- 07- 22","1.3606","1.3688","1.3697","1.3602","","-0.56%"
"2025- 07- 21","1.3683","1.3718","1.3736","1.3676","","-0.30%"
"2025- 07- 18","1.3724","1.3752","1.3756","1.3694","","-0.20%"
"2025- 07- 17","1.3752","1.3684","1.3776","1.3683","","0.50%"
"2025- 07- 16","1.3683","1.3725","1.3756","1.3679","","-0.30%"
"2025- 07- 15","1.3724","1.3697","1.3731","1.3670","","0.13%"
"2025- 07- 14","1.3706","1.3696","1.3719","1.3669","","0.11%"
"2025- 07- 11","1.3691","1.3657","1.3732","1.3651","","0.26%"
"2025- 07- 10","1.3655","1.3685","1.3710","1.3653","","-0.23%"
"2025- 07- 09","1.3686","1.3666","1.3711","1.3660","","0.18%"
"2025- 07- 08","1.3661","1.3681","1.3695","1.3637","","-0.16%"
"2025- 07- 07","1.3683","1.3605","1.3687","1.3594","","0.58%"
"2025- 07- 04","1.3604","1.3579","1.3619","1.3566","","0.15%"
"2025- 07- 03","1.3583","1.3588","1.3625","1.3556","","-0.04%"
"2025- 07- 02","1.3588","1.3646","1.3660","1.3583","","-0.43%"
"2025- 07- 01","1.3646","1.3611","1.3668","1.3590","","0.27%"
"2025- 06- 30","1.3609","1.3686","1.3705","1.3599","","-0.53%"
"2025- 06- 27","1.3682","1.3644","1.3760","1.3627","","0.29%"
"2025- 06- 26","1.3642","1.3724","1.3732","1.3617","","-0.61%"
"2025- 06- 25","1.3726","1.3726","1.3756","1.3712","","0.00%"
"2025- 06- 24","1.3726","1.3734","1.3740","1.3678","","-0.05%"
"2025- 06- 23","1.3733","1.3738","1.3800","1.3724","","-0.01%"
"2025- 06- 20","1.3734","1.3708","1.3748","1.3687","","0.24%"
"2025- 06- 19","1.3701","1.3695","1.3748","1.3685","","0.03%"
"2025- 06- 18","1.3697","1.3678","1.3704","1.3634","","0.12%"
"2025- 06- 17","1.3681","1.3571","1.3695","1.3556","","0.81%"
