date,news_volume,sent_pos_mean,sent_neg_mean,sent_neu_mean,sent_score_mean,sent_score_std,sent_max_neg,sent_pos_ratio,sent_neg_ratio,sent_score_ma5,sent_score_ma20,sent_surprise,sent_momentum_3d,sent_vol_5d,news_volume_chg
2014-01-02,6,0.27765104,0.6684715,0.05387743,-0.39082047,0.8439124,0.96775657,0.3333333333333333,0.6666666666666666,-0.3908204734325409,-0.3908204734325409,0.0,-0.3908204734325409,0.0,0.0
2014-01-03,2,0.42233387,0.11110928,0.46655682,0.3112246,0.30465257,0.19533141,0.5,0.0,-0.03979793190956116,-0.03979793190956116,0.35102254152297974,-0.03979793190956116,0.49642083892047084,-0.6666666666666667
2014-01-06,5,0.4531209,0.091722205,0.4551569,0.36139867,0.50715256,0.2758316,0.4,0.0,0.09393426775932312,0.09393426775932312,0.26746439933776855,0.09393426775932312,0.4205588286341009,1.5
2014-01-07,5,0.07909913,0.79818296,0.12271787,-0.71908385,0.32280242,0.9742004,0.0,0.8,-0.1093202605843544,-0.1093202605843544,-0.6097635850310326,-0.01548685630162557,0.5321304026241136,0.0
2014-01-08,3,0.41459373,0.34254763,0.24285866,0.0720461,0.83897346,0.92567056,0.3333333333333333,0.3333333333333333,-0.07304698824882508,-0.07304698824882508,0.14509308934211732,-0.09521302580833435,0.46792181556037044,-0.4
2014-01-09,5,0.34526956,0.25498307,0.3997474,0.09028648,0.5606169,0.522512,0.2,0.4,0.023174402117729188,-0.045824743807315826,0.06711207628250122,-0.18558375537395477,0.4345136233568178,0.6666666666666667
2014-01-10,7,0.37932894,0.37547988,0.24519117,0.0038490805,0.7692707,0.97082865,0.42857142857142855,0.42857142857142855,-0.038300703698769215,-0.03872848318756691,0.0421497842296958,0.05539388667481641,0.4042625874264948,0.3999999999999999
2014-01-13,6,0.3194628,0.06828851,0.6122487,0.25117427,0.38500533,0.12908086,0.3333333333333333,0.0,-0.06034558289684355,-0.0024906389007810503,0.3115198540035635,0.11510327667929232,0.3792490108427445,-0.1428571428571429
2014-01-14,4,0.58080775,0.05425356,0.3649387,0.52655417,0.45613194,0.14415759,0.5,0.0,0.18878201968036593,0.05629211734049022,0.3377721475902945,0.2605258396361023,0.20947055583583468,-0.33333333333333337
2014-01-15,3,0.5335627,0.1709109,0.29552636,0.36265185,0.5576436,0.26159382,0.6666666666666666,0.0,0.24690317041240634,0.08692809108179063,0.11574868434108793,0.3801267643769582,0.20929928278460508,-0.25
2014-01-16,2,0.05641366,0.50154924,0.4420371,-0.4451356,0.7245426,0.9678974,0.0,0.5,0.13981875604949892,0.03855866521850906,-0.5849543494638055,0.14802347620328268,0.3782453775399424,-0.33333333333333337
2014-01-17,3,0.30920434,0.66541266,0.02538295,-0.35620832,1.046869,0.9706599,0.3333333333333333,0.6666666666666666,0.06780727505683899,0.005661416080935548,-0.424015599489212,-0.14623068769772848,0.43985938305846584,0.5
2014-01-21,11,0.06098946,0.5708718,0.36813882,-0.5098823,0.3920644,0.94393915,0.0,0.6363636363636364,-0.08440403342247009,-0.03399579063989222,-0.42547823786735534,-0.437075396378835,0.4894296302920466,2.6666666666666665
2014-01-22,5,0.05430587,0.6888989,0.25679526,-0.634593,0.41833246,0.9302252,0.0,0.8,-0.31663346886634824,-0.07689559201909495,-0.3179595410823822,-0.5002278685569763,0.3930492607470316,-0.5454545454545454
2014-01-23,6,0.42657185,0.1904578,0.38297033,0.23611404,0.6816531,0.9297745,0.3333333333333333,0.16666666666666666,-0.3419410318136215,-0.05602828321668009,0.5780550718307496,-0.30278708040714264,0.3386922568774919,0.19999999999999996
2014-01-24,3,0.31723675,0.6424404,0.04032279,-0.3252036,1.0636517,0.95314205,0.3333333333333333,0.6666666666666666,-0.31795463263988494,-0.07285174036223907,-0.007248964905738842,-0.24122752249240875,0.3337679084747306,-0.5
2014-01-27,7,0.076809935,0.37214813,0.55104196,-0.2953382,0.44640416,0.9558478,0.0,0.42857142857142855,-0.30578061044216154,-0.08593917995526948,0.010442396998405434,-0.12814259032408395,0.33313330301454835,1.3333333333333335
2014-01-28,5,0.43573365,0.3210536,0.24321273,0.11468005,0.6887294,0.9014944,0.4,0.4,-0.1808681458234787,-0.07479366707977736,0.2955481976270676,-0.16862058639526367,0.3539156862019976,-0.2857142857142857
2014-01-29,6,0.34776255,0.48845002,0.16378747,-0.14068747,0.8797512,0.95618916,0.3333333333333333,0.5,-0.08208703696727752,-0.07826176174230089,-0.058600428700447085,-0.10711520910263062,0.24899043614028674,0.19999999999999996
2014-01-30,6,0.19961207,0.7336711,0.06671677,-0.5340591,0.7560299,0.97548103,0.16666666666666666,0.8333333333333334,-0.236121666431427,-0.10105162902036682,-0.29793744087219237,-0.1866888403892517,0.241028235252955,0.0
2014-01-31,5,0.21581626,0.73091364,0.05327005,-0.51509744,0.8007386,0.97225493,0.2,0.8,-0.27410043478012086,-0.10726547731319443,-0.24099700450897216,-0.396614670753479,0.27159639077162556,-0.16666666666666663
2014-02-03,5,0.050073557,0.36078033,0.5891461,-0.31070676,0.433564,0.94478565,0.0,0.4,-0.2771741449832916,-0.13836204601684585,-0.03353261947631836,-0.4532877703507741,0.27198351952768507,0.0
2014-02-04,5,0.5721805,0.2873998,0.14041972,0.28478068,0.8274193,0.91159457,0.6,0.2,-0.24315401911735535,-0.14219294531503693,0.5279347002506256,-0.18034117420514426,0.33628738075312903,0.0
2014-02-05,9,0.39275885,0.45206404,0.15517712,-0.05930519,0.84242874,0.9574397,0.4444444444444444,0.4444444444444444,-0.22687756419181823,-0.10920401258626952,0.16757237315177917,-0.028410424788792927,0.34435925713564075,0.8
2014-02-06,8,0.32449636,0.62017226,0.05533138,-0.29567593,0.7755504,0.96888745,0.375,0.625,-0.17920092940330506,-0.1275901143089868,-0.1164750039577484,-0.023400147755940754,0.3055080193497603,-0.11111111111111116
2014-02-07,7,0.123520695,0.6143871,0.2620922,-0.4908664,0.5463195,0.9707491,0.14285714285714285,0.5714285714285714,-0.1743547201156616,-0.15664775787154211,-0.31651167273521424,-0.2819491724173228,0.29896992598683386,-0.125
2014-02-10,7,0.3166773,0.044508047,0.6388146,0.27216926,0.4052436,0.07601821,0.2857142857142857,0.0,-0.0577795147895813,-0.14323174878954886,0.32994877696037295,-0.17145768801371256,0.34291943691426324,0.0
2014-02-11,6,0.47042823,0.26327458,0.2662972,0.20715363,0.6320215,0.9620331,0.5,0.16666666666666666,-0.07330492436885834,-0.1454327806830406,0.2804585576057434,-0.0038478324810663858,0.3248121973671367,-0.1428571428571429
2014-02-12,4,0.06500417,0.57290477,0.36209106,-0.5079006,0.39151233,0.85118604,0.0,0.5,-0.16302400529384614,-0.19715551882982255,-0.3448765903711319,-0.00952590008576711,0.3776379522107767,-0.33333333333333337
2014-02-13,7,0.36591443,0.5211907,0.112894855,-0.15527627,0.88044804,0.9708518,0.42857142857142855,0.5714285714285714,-0.1349440723657608,-0.2230519250035286,-0.020332196354866022,-0.15200774371623993,0.37046010987541794,0.75
2014-02-14,3,0.666979,0.2895023,0.04351869,0.37747666,0.6444961,0.65334487,0.6666666666666666,0.3333333333333333,0.038724538683891294,-0.18192131221294403,0.33875212371349334,-0.09523340066274007,0.36539470128606927,-0.5714285714285714
2014-02-18,15,0.22002234,0.39579874,0.38417897,-0.17577644,0.64270425,0.9553181,0.2,0.4,-0.05086460113525391,-0.1728997178375721,-0.12491183578968049,0.015474652250607809,0.34836629811784825,4.0
