date,news_volume,sent_pos_mean,sent_neg_mean,sent_neu_mean,sent_score_mean,sent_score_std,sent_max_neg,sent_pos_ratio,sent_neg_ratio,sent_score_ma5,sent_score_ma20,sent_surprise,sent_momentum_3d,sent_vol_5d,news_volume_chg
2017-02-01,500,0.16095905,0.19120836,0.6478326,-0.030249309,0.42846203,0.97392386,0.12,0.176,-0.030249308794736862,-0.030249308794736862,0.0,-0.030249308794736862,0.0,0.0
2017-03-01,250,0.18575057,0.17515588,0.6390935,0.0105946995,0.44624525,0.9646212,0.156,0.148,-0.009827304631471634,-0.009827304631471634,0.02042200416326523,-0.009827304631471634,0.028881075258529496,-0.5
2017-04-01,250,0.16149586,0.25422418,0.58427995,-0.0927283,0.46865755,0.9657137,0.108,0.248,-0.0374609703818957,-0.0374609703818957,-0.05526733150084814,-0.0374609703818957,0.052037646972772536,0.0
2017-05-01,250,0.17749004,0.1801311,0.64237887,-0.002641059,0.43273053,0.96929437,0.136,0.16,-0.028755992534570396,-0.028755992534570396,0.026114933541975915,-0.02825822044784824,0.04591714667672233,0.0
2017-06-01,249,0.22920938,0.17283389,0.5979568,0.056375492,0.48211455,0.97457504,0.19678714859437751,0.15261044176706828,-0.011729695554822683,-0.011729695554822683,0.06810518791899085,-0.012997956170390049,0.055052358836034945,-0.0040000000000000036
2017-07-01,250,0.21913299,0.18665591,0.59421104,0.03247709,0.43310097,0.9669775,0.188,0.176,0.0008155838586390018,-0.004361898250256975,0.03166150441393256,0.02873717388138175,0.05689330438997864,0.004016064257028162
2017-08-01,250,0.20044029,0.16132179,0.6382379,0.0391185,0.44013047,0.9681998,0.168,0.136,0.006520343665033579,0.0018495870088892324,0.0325981548987329,0.04265702640016874,0.05948981653812505,0.0
2017-09-01,250,0.19690439,0.25644228,0.54665333,-0.059537888,0.4905571,0.97300774,0.164,0.248,0.013158426526933909,-0.005823847313877195,-0.0726963141001761,0.004019233087698619,0.04595984290065891,0.0
2017-10-01,250,0.2036739,0.30577517,0.4905509,-0.10210129,0.5144621,0.9601486,0.176,0.332,-0.006733619421720505,-0.016521340805209346,-0.09536766931414604,-0.04084022591511408,0.06983183263647773,0.0
2017-11-01,250,0.15604395,0.19858712,0.64536893,-0.04254316,0.42425013,0.9699128,0.12,0.18,-0.0265173502266407,-0.019123522890731694,-0.016025811433792114,-0.06806077932318051,0.060927257240931856,0.0
