Metric,Mean,CI_Lower,CI_Upper
RMSE,0.007953109460736673,0.007155816980992612,0.008854862168699044
R2,0.6394746188275672,0.5033661831871561,0.753621164072369
Dir_Acc,0.7819701559020045,0.7438752783964365,0.8195991091314031
