group,task,r2_log,r2,rmse,mae,corr
AR_Only,vol,0.8343886137008667,-0.19735193252563477,0.005654701022255225,0.0033671301789581776,0.30061863502025643
Financial_Only,vol,-0.6849222183227539,-274.7937316894531,0.08582047872219041,0.028923744335770607,0.07339365438811342
News_Pure,vol,-0.217911958694458,-0.5883581638336182,0.006512878121535803,0.003994620870798826,0.005169125425602421
AR+News,vol,0.8209277391433716,-4.034316062927246,0.011594952278981203,0.004602369852364063,0.16638653816424606
Full,vol,0.7360379695892334,-0.4090077877044678,0.00613416456916926,0.0036636688746511936,0.3200633776508214
