Date,n_cand,n_hi,n_cand_rel,n_hi_rel,score_mean_rel,topic_policy_rel,topic_macro_rel,topic_trade_geo_rel,topic_market_rel,topic_corp_rel,topic_commod_fx_rel
2014-01-02,18,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-03,12,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-06,32,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-07,26,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-08,18,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-09,27,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-10,25,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-13,32,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-14,29,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-15,29,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-16,29,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-17,19,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-20,37,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-21,19,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-22,26,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-23,28,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-24,31,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-27,33,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-28,28,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-29,26,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-30,27,17,1.0294117647058825,1.0876132930513596,1.12451648951487,0.46511627906976744,1.1764705882352942,0.7142857142857143,2.0,1.3793103448275863,0.8333333333333334
2014-01-31,20,15,0.770979020979021,0.9627507163323782,0.9765081624451468,0.9545454545454545,1.1666666666666667,0.7241379310344828,0.7159090909090908,1.3548387096774193,0.84
2014-02-03,36,19,1.3726812816188871,1.2054794520547942,0.9689120232047811,0.9565217391304348,0.3859649122807018,0.7333333333333333,1.4505494505494505,1.3333333333333333,0.8461538461538461
2014-02-04,23,9,0.8761904761904762,0.5974025974025974,0.9285771706243133,0.9583333333333334,0.396551724137931,0.7419354838709677,0.9484536082474226,0.6571428571428571,1.703703703703704
2014-02-05,23,11,0.8807339449541285,0.7291139240506328,0.9313488192830173,0.9600000000000002,1.6271186440677967,0.75,0.7128712871287127,0.3333333333333333,1.6551724137931036
