Date,n_cand,n_hi,n_cand_rel,n_hi_rel,score_mean_rel,topic_policy_rel,topic_macro_rel,topic_trade_geo_rel,topic_market_rel,topic_corp_rel,topic_commod_fx_rel
2014-01-02,29,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-03,11,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-06,40,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-07,17,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-08,14,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-09,16,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-10,22,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-13,58,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-14,16,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-15,21,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-16,19,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-17,17,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-21,61,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-22,12,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-23,20,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-24,17,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-27,42,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-28,21,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-29,29,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-30,21,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-01-31,14,5,0.5736137667304015,1.0256410256410258,1.320067430712044,0.7692307692307692,1.8181818181818183,0.8,0.851063829787234,0.9523809523809523,1.5384615384615383
2014-02-03,46,5,1.8345724907063197,1.024390243902439,0.888521891913433,1.5555555555555558,1.7499999999999998,0.8076923076923077,0.8571428571428572,0.9545454545454545,0.75
2014-02-04,22,5,0.864957264957265,1.0232558139534884,1.0042516219346938,0.7586206896551725,0.5641025641025641,0.8148148148148148,0.8627450980392156,1.9130434782608696,0.7586206896551725
2014-02-05,20,9,0.7944078947368421,1.7037037037037037,1.242531696273991,0.7666666666666666,1.725,0.8214285714285714,0.4339622641509434,2.3000000000000003,1.5333333333333332
2014-02-06,21,8,0.8394276629570747,1.489655172413793,1.1389823397446237,1.5483870967741935,1.1162790697674418,0.8275862068965518,0.8888888888888888,2.6181818181818177,0.75
2014-02-07,22,7,0.8832565284178188,1.2987012987012987,1.0348625782328373,0.7575757575757576,2.2222222222222223,0.8333333333333334,1.7857142857142856,0.819672131147541,0.7575757575757576
2014-02-10,54,7,2.121661721068249,1.2839506172839505,0.8735135768786204,1.5294117647058822,0.5306122448979592,0.8387096774193549,1.7333333333333334,0.4126984126984127,2.2941176470588234
2014-02-11,26,6,1.0,1.1117647058823528,0.9966167352827368,2.25,0.54,0.84375,1.265625,0.84375,0.7297297297297298
2014-02-12,19,4,0.7407407407407407,0.7909604519774012,0.9870735151236776,2.1538461538461537,0.5490196078431373,0.8484848484848485,0.835820895522388,0.8484848484848485,1.4736842105263157
2014-02-13,18,7,0.7100515463917526,1.2747252747252749,1.212946108518065,0.6904761904761905,0.5576923076923077,1.7058823529411762,0.42028985507246375,2.1323529411764706,1.45
2014-02-14,16,3,0.6415094339622641,0.6315789473684211,0.9526968876268217,0.6976744186046512,0.5660377358490566,0.8333333333333334,0.8571428571428572,0.821917808219178,1.4285714285714286
2014-02-18,67,15,2.5960591133004924,2.5567010309278353,0.941810560485662,0.7045454545454545,1.7222222222222223,0.8378378378378378,2.5833333333333335,1.6533333333333333,2.818181818181818
2014-02-19,18,4,0.6909090909090909,0.7619047619047619,1.0007353187173469,0.7111111111111111,1.6842105263157894,0.8421052631578947,0.8205128205128205,0.810126582278481,0.6666666666666666
2014-02-20,22,8,0.8442714126807565,1.3813953488372093,1.0968363980511642,0.717391304347826,1.65,1.6923076923076923,1.2375,1.222222222222222,0.673469387755102
2014-02-21,20,5,0.7744034707158352,0.9107142857142858,1.0505886657097636,0.723404255319149,0.5396825396825397,0.8292682926829269,1.2289156626506024,1.2142857142857142,0.6799999999999999
2014-02-24,43,4,1.6330858960763521,0.7608695652173914,0.7791310000707381,1.4583333333333333,1.09375,0.8333333333333334,0.813953488372093,0.40229885057471265,0.6862745098039216
2014-02-25,25,3,0.9483282674772036,0.6127659574468085,0.7082389263698697,0.72,0.5454545454545454,1.6744186046511629,0.40909090909090906,0.40909090909090906,0.6923076923076923
2014-02-26,15,3,0.5844027640671273,0.6192468619246861,0.9380958827049196,0.7254901960784313,0.5522388059701492,0.8222222222222222,0.4157303370786517,1.2471910112359552,0.6981132075471698
2014-02-27,18,6,0.7016520894071915,1.094650205761317,1.1076898787116052,0.7307692307692307,1.1176470588235294,0.8260869565217391,0.4222222222222223,1.2391304347826086,1.4074074074074074
2014-02-28,18,5,0.70706106870229,0.9359999999999999,1.2189127288048254,0.7358490566037735,1.1142857142857143,0.8297872340425533,1.2857142857142858,0.8210526315789473,2.7857142857142856
2014-03-03,41,6,1.5745079662605435,1.09375,0.9064366356606526,0.7407407407407407,1.1111111111111112,0.8333333333333334,0.851063829787234,0.8247422680412372,2.0
2014-03-04,22,4,0.8503155996393148,0.779467680608365,0.8232660471583706,1.4909090909090907,0.5540540540540541,0.8367346938775511,0.42708333333333326,0.41414141414141414,1.3015873015873016
